year,countyfips,county,state,pm25_max_pred,pm25_med_pred,pm25_mean_pred,pm25_pop_pred,o3_max_pred,o3_med_pred,o3_mean_pred,o3_pop_pred,edd,edr,i305,i310,i324,i380
2001,23001,Androscoggin,ME,10.93,10.4,10.36,10.36,38.85,37.16,37.19,37.21,NA,NA,NA,NA,NA,NA
2001,23003,Aroostook,ME,9.98,9.17,9.17,9.17,35.7,33.44,33.56,33.55,NA,NA,NA,NA,NA,NA
2001,23005,Cumberland,ME,11.56,10.93,10.78,10.78,41.77,38.75,38.6,38.51,NA,NA,NA,NA,NA,NA
2001,23007,Franklin,ME,10.09,9.18,9.14,9.38,39.29,37.34,37.54,37.27,NA,NA,NA,NA,NA,NA
2001,23009,Hancock,ME,9.64,8.82,8.82,8.85,42.37,39.73,39.8,39.77,NA,NA,NA,NA,NA,NA
2001,23011,Kennebec,ME,10.72,10.15,10.15,10.15,38.7,37.17,37.17,37.17,NA,NA,NA,NA,NA,NA
2001,23013,Knox,ME,10.22,9.74,9.66,9.74,41.4,39.5,39.56,39.34,NA,NA,NA,NA,NA,NA
2001,23015,Lincoln,ME,10.31,9.81,9.82,9.86,40.63,38.93,39.11,38.9,NA,NA,NA,NA,NA,NA
2001,23017,Oxford,ME,10.19,9.43,9.38,9.44,40.02,37.41,37.56,37.48,NA,NA,NA,NA,NA,NA
2001,23019,Penobscot,ME,10.57,9.41,9.29,9.34,39.91,37.5,37.26,37.4,NA,NA,NA,NA,NA,NA
2001,23021,Piscataquis,ME,9.27,8.78,8.68,8.85,38.28,36.27,36.33,36.18,NA,NA,NA,NA,NA,NA
2001,23023,Sagadahoc,ME,10.67,10.31,10.28,10.29,40.22,38.61,38.66,38.62,NA,NA,NA,NA,NA,NA
2001,23025,Somerset,ME,10.38,9.61,9.46,9.66,39,36.55,36.65,36.57,NA,NA,NA,NA,NA,NA
2001,23027,Waldo,ME,10.08,9.51,9.54,9.52,39.83,38.22,38.25,38.28,NA,NA,NA,NA,NA,NA
2001,23029,Washington,ME,9.09,8.3,8.35,8.34,41.06,38.54,38.67,38.82,NA,NA,NA,NA,NA,NA
2001,23031,York,ME,11.56,10.55,10.53,10.55,41.6,38.66,38.66,38.62,NA,NA,NA,NA,NA,NA
2001,36001,Albany,NY,13.19,12.62,12.48,12.52,42.36,38.17,38.4,38.33,NA,NA,NA,NA,NA,NA
2001,36003,Allegany,NY,11.97,11.21,11.23,11.21,43.53,42.4,42.39,42.39,NA,NA,NA,NA,NA,NA
2001,36005,Bronx,NY,17.57,16.49,16.43,16.45,34.57,31.61,31.73,31.69,NA,NA,NA,NA,NA,NA
2001,36007,Broome,NY,12.57,12.15,12.11,12.11,42.95,41.26,41.29,41.3,NA,NA,NA,NA,NA,NA
2001,36009,Cattaraugus,NY,13.19,11.72,11.86,11.85,44.14,42.4,42.41,42.41,NA,NA,NA,NA,NA,NA
2001,36011,Cayuga,NY,12.55,11.94,11.87,11.86,42.14,39.86,39.96,39.97,NA,NA,NA,NA,NA,NA
2001,36013,Chautauqua,NY,13.68,12.66,12.7,12.69,44.63,42.37,42.52,42.51,NA,NA,NA,NA,NA,NA
2001,36015,Chemung,NY,12,11.63,11.62,11.61,42.09,41.46,41.44,41.44,NA,NA,NA,NA,NA,NA
2001,36017,Chenango,NY,12.01,11.29,11.35,11.33,42.97,41.78,41.73,41.74,NA,NA,NA,NA,NA,NA
2001,36019,Clinton,NY,9.97,9.26,9.12,9.06,42.17,39.22,39.45,39.53,NA,NA,NA,NA,NA,NA
2001,36021,Columbia,NY,12.84,12.08,12.05,12.08,42.91,40.75,40.8,40.72,NA,NA,NA,NA,NA,NA
2001,36023,Cortland,NY,11.85,11.51,11.49,11.49,42.42,41.48,41.5,41.5,NA,NA,NA,NA,NA,NA
2001,36025,Delaware,NY,11.53,10.68,10.69,10.73,44.27,42.61,42.62,42.57,NA,NA,NA,NA,NA,NA
2001,36027,Dutchess,NY,13.85,13.02,12.92,12.94,43.18,40.54,40.6,40.59,NA,NA,NA,NA,NA,NA
2001,36029,Erie,NY,15.16,14.15,14.01,14.01,44.62,40.75,40.92,40.9,NA,NA,NA,NA,NA,NA
2001,36031,Essex,NY,9.79,8.48,8.47,8.45,44.44,41.4,41.58,41.71,NA,NA,NA,NA,NA,NA
2001,36033,Franklin,NY,10.06,8.44,8.55,8.67,43.72,41.22,41.24,40.99,NA,NA,NA,NA,NA,NA
2001,36035,Fulton,NY,11.3,10.77,10.68,10.73,41.59,40.18,40.25,40.21,NA,NA,NA,NA,NA,NA
2001,36037,Genesee,NY,13.42,12.71,12.73,12.72,42.14,40.84,40.78,40.77,NA,NA,NA,NA,NA,NA
2001,36039,Greene,NY,12.2,11.27,11.2,11.26,43.76,40.99,41.14,41.06,NA,NA,NA,NA,NA,NA
2001,36041,Hamilton,NY,9.17,8.59,8.62,8.63,43.29,42.04,42.01,42,NA,NA,NA,NA,NA,NA
2001,36043,Herkimer,NY,11.64,11.21,10.98,11.04,42.96,40.33,40.43,40.42,NA,NA,NA,NA,NA,NA
2001,36045,Jefferson,NY,11.05,10.34,10.32,10.34,44.7,42.53,42.38,42.38,NA,NA,NA,NA,NA,NA
2001,36047,Kings,NY,18.12,16.62,16.64,16.66,36.04,32.42,32.45,32.39,NA,NA,NA,NA,NA,NA
2001,36049,Lewis,NY,10.25,9.68,9.7,9.76,42.93,41.53,41.49,41.59,NA,NA,NA,NA,NA,NA
2001,36051,Livingston,NY,12.81,12.03,11.98,11.97,42.4,40.7,40.75,40.72,NA,NA,NA,NA,NA,NA
2001,36053,Madison,NY,12.16,11.51,11.46,11.47,42.77,40.65,40.77,40.76,NA,NA,NA,NA,NA,NA
2001,36055,Monroe,NY,14.05,13.36,13.25,13.19,41.21,37.78,38.03,38.13,NA,NA,NA,NA,NA,NA
2001,36057,Montgomery,NY,11.76,11.39,11.31,11.3,41.19,39.52,39.77,39.82,NA,NA,NA,NA,NA,NA
2001,36059,Nassau,NY,16.93,14.91,14.91,14.93,41.55,36.58,36.47,36.45,NA,NA,NA,NA,NA,NA
2001,36061,New York,NY,18.04,17.32,17.19,17.18,34.56,30.75,30.99,30.98,NA,NA,NA,NA,NA,NA
2001,36063,Niagara,NY,15.07,14.32,14.15,14.13,43.06,40.66,40.72,40.71,NA,NA,NA,NA,NA,NA
2001,36065,Oneida,NY,12.11,11.56,11.42,11.42,42.77,39.85,39.95,39.96,NA,NA,NA,NA,NA,NA
2001,36067,Onondaga,NY,12.87,12.24,12.2,12.19,42.2,39.23,39.33,39.31,NA,NA,NA,NA,NA,NA
2001,36069,Ontario,NY,12.87,11.99,11.98,12.03,41.78,39.72,39.74,39.66,NA,NA,NA,NA,NA,NA
2001,36071,Orange,NY,13.78,12.76,12.71,12.71,44.27,41.47,41.5,41.51,NA,NA,NA,NA,NA,NA
2001,36073,Orleans,NY,13.2,12.66,12.64,12.61,41.78,40.61,40.58,40.54,NA,NA,NA,NA,NA,NA
2001,36075,Oswego,NY,12.3,11.32,11.29,11.31,43.05,40.29,40.4,40.37,NA,NA,NA,NA,NA,NA
2001,36077,Otsego,NY,11.53,10.89,10.89,10.91,42.97,41.94,41.83,41.81,NA,NA,NA,NA,NA,NA
2001,36079,Putnam,NY,13.82,13.27,13.26,13.26,42.03,40.61,40.62,40.6,NA,NA,NA,NA,NA,NA
2001,36081,Queens,NY,18.42,16.89,16.82,16.84,37.95,31.26,31.54,31.48,NA,NA,NA,NA,NA,NA
2001,36083,Rensselaer,NY,13.11,12.54,12.33,12.39,43.12,38.97,39.45,39.33,NA,NA,NA,NA,NA,NA
2001,36085,Richmond,NY,16.34,15.3,15.25,15.18,40.01,36.66,36.8,37,NA,NA,NA,NA,NA,NA
2001,36087,Rockland,NY,14.2,12.98,13.01,13.01,43.12,40.96,40.82,40.83,NA,NA,NA,NA,NA,NA
2001,36089,St Lawrence,NY,10.83,9.79,9.77,9.77,43.34,39.91,39.97,39.98,NA,NA,NA,NA,NA,NA
2001,36091,Saratoga,NY,13.06,11.89,11.85,11.91,42.47,39.31,39.26,39.19,NA,NA,NA,NA,NA,NA
2001,36093,Schenectady,NY,12.74,12.28,12.24,12.25,40.12,37.79,37.93,37.93,NA,NA,NA,NA,NA,NA
2001,36095,Schoharie,NY,11.08,10.65,10.6,10.64,42.71,41.35,41.47,41.35,NA,NA,NA,NA,NA,NA
2001,36097,Schuyler,NY,11.71,11.33,11.36,11.39,41.71,41.16,41.16,41.15,NA,NA,NA,NA,NA,NA
2001,36099,Seneca,NY,12.38,11.96,11.9,11.89,41.1,39.56,39.74,39.76,NA,NA,NA,NA,NA,NA
2001,36101,Steuben,NY,11.95,11.06,11.09,11.08,43.31,41.62,41.67,41.69,NA,NA,NA,NA,NA,NA
2001,36103,Suffolk,NY,15.26,13.4,13.34,13.35,46.63,39.95,40.01,40,NA,NA,NA,NA,NA,NA
2001,36105,Sullivan,NY,12.34,11.38,11.39,11.4,44.45,42.63,42.61,42.58,NA,NA,NA,NA,NA,NA
2001,36107,Tioga,NY,12.38,11.93,11.91,11.91,42.41,41.5,41.48,41.48,NA,NA,NA,NA,NA,NA
2001,36109,Tompkins,NY,12.07,11.7,11.69,11.69,42.03,41.13,41.14,41.15,NA,NA,NA,NA,NA,NA
2001,36111,Ulster,NY,13.36,11.98,11.87,11.96,44.84,41.05,41.29,41.24,NA,NA,NA,NA,NA,NA
2001,36113,Warren,NY,11.32,10.74,10.39,10.51,42.46,39.89,40.15,40.06,NA,NA,NA,NA,NA,NA
2001,36115,Washington,NY,12.05,11.13,11.06,11.08,42.46,40.2,40.29,40.19,NA,NA,NA,NA,NA,NA
2001,36117,Wayne,NY,13.02,12.13,12.11,12.14,41.2,39.18,39.24,39.2,NA,NA,NA,NA,NA,NA
2001,36119,Westchester,NY,16.1,14.33,14.26,14.21,42.94,36.98,37.38,37.52,NA,NA,NA,NA,NA,NA
2001,36121,Wyoming,NY,13.02,12.22,12.25,12.28,43.28,41.93,41.93,41.9,NA,NA,NA,NA,NA,NA
2001,36123,Yates,NY,11.73,11.39,11.41,11.42,41.37,40.81,40.76,40.75,NA,NA,NA,NA,NA,NA
