year,season,countyfips,county,state,UV,hover
2001,Fall,23001,Androscoggin,ME,NA,Androscoggin <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Spring,23001,Androscoggin,ME,NA,Androscoggin <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Summer,23001,Androscoggin,ME,NA,Androscoggin <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Winter,23001,Androscoggin,ME,NA,Androscoggin <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Fall,23003,Aroostook,ME,NA,Aroostook <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Spring,23003,Aroostook,ME,NA,Aroostook <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Summer,23003,Aroostook,ME,NA,Aroostook <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Winter,23003,Aroostook,ME,NA,Aroostook <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Fall,23005,Cumberland,ME,NA,Cumberland <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Spring,23005,Cumberland,ME,NA,Cumberland <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Summer,23005,Cumberland,ME,NA,Cumberland <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Winter,23005,Cumberland,ME,NA,Cumberland <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Fall,23007,Franklin,ME,NA,Franklin <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Spring,23007,Franklin,ME,NA,Franklin <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Summer,23007,Franklin,ME,NA,Franklin <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Winter,23007,Franklin,ME,NA,Franklin <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Fall,23009,Hancock,ME,NA,Hancock <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Spring,23009,Hancock,ME,NA,Hancock <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Summer,23009,Hancock,ME,NA,Hancock <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Winter,23009,Hancock,ME,NA,Hancock <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Fall,23011,Kennebec,ME,NA,Kennebec <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Spring,23011,Kennebec,ME,NA,Kennebec <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Summer,23011,Kennebec,ME,NA,Kennebec <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Winter,23011,Kennebec,ME,NA,Kennebec <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Fall,23013,Knox,ME,NA,Knox <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Spring,23013,Knox,ME,NA,Knox <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Summer,23013,Knox,ME,NA,Knox <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Winter,23013,Knox,ME,NA,Knox <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Fall,23015,Lincoln,ME,NA,Lincoln <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Spring,23015,Lincoln,ME,NA,Lincoln <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Summer,23015,Lincoln,ME,NA,Lincoln <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Winter,23015,Lincoln,ME,NA,Lincoln <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Fall,23017,Oxford,ME,NA,Oxford <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Spring,23017,Oxford,ME,NA,Oxford <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Summer,23017,Oxford,ME,NA,Oxford <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Winter,23017,Oxford,ME,NA,Oxford <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Fall,23019,Penobscot,ME,NA,Penobscot <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Spring,23019,Penobscot,ME,NA,Penobscot <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
2001,Summer,23019,Penobscot,ME,NA,Penobscot <br> Seasonal EDR NA <br> Seasonal I305 NA <br> Seasonal I380 NA <br>
