year,season,countyfips,county,state,O3,hover
2001,Fall,23001,Androscoggin,ME,33.34,Androscoggin <br> Seasonal Max 34.09 <br> Seasonal Median 33.41 <br>
2001,Spring,23001,Androscoggin,ME,42.4,Androscoggin <br> Seasonal Max 43.47 <br> Seasonal Median 42.36 <br>
2001,Summer,23001,Androscoggin,ME,40.88,Androscoggin <br> Seasonal Max 42.65 <br> Seasonal Median 40.9 <br>
2001,Winter,23001,Androscoggin,ME,27.46,Androscoggin <br> Seasonal Max 28.45 <br> Seasonal Median 27.4 <br>
2001,Fall,23003,Aroostook,ME,30.47,Aroostook <br> Seasonal Max 31.97 <br> Seasonal Median 30.49 <br>
2001,Spring,23003,Aroostook,ME,38.79,Aroostook <br> Seasonal Max 40.83 <br> Seasonal Median 38.5 <br>
2001,Summer,23003,Aroostook,ME,36.99,Aroostook <br> Seasonal Max 38.57 <br> Seasonal Median 36.62 <br>
2001,Winter,23003,Aroostook,ME,25.23,Aroostook <br> Seasonal Max 26.78 <br> Seasonal Median 25.04 <br>
2001,Fall,23005,Cumberland,ME,33.42,Cumberland <br> Seasonal Max 35.5 <br> Seasonal Median 33.38 <br>
2001,Spring,23005,Cumberland,ME,42.4,Cumberland <br> Seasonal Max 44.55 <br> Seasonal Median 42.11 <br>
2001,Summer,23005,Cumberland,ME,43.92,Cumberland <br> Seasonal Max 48.34 <br> Seasonal Median 45 <br>
2001,Winter,23005,Cumberland,ME,27.47,Cumberland <br> Seasonal Max 29.69 <br> Seasonal Median 27.45 <br>
2001,Fall,23007,Franklin,ME,33.74,Franklin <br> Seasonal Max 36.27 <br> Seasonal Median 33.98 <br>
2001,Spring,23007,Franklin,ME,43.27,Franklin <br> Seasonal Max 44.88 <br> Seasonal Median 43.19 <br>
2001,Summer,23007,Franklin,ME,38.37,Franklin <br> Seasonal Max 41.15 <br> Seasonal Median 38.3 <br>
2001,Winter,23007,Franklin,ME,29.07,Franklin <br> Seasonal Max 30.53 <br> Seasonal Median 29.22 <br>
2001,Fall,23009,Hancock,ME,34.45,Hancock <br> Seasonal Max 35.63 <br> Seasonal Median 34.44 <br>
2001,Spring,23009,Hancock,ME,43.36,Hancock <br> Seasonal Max 44.48 <br> Seasonal Median 43.26 <br>
2001,Summer,23009,Hancock,ME,42.49,Hancock <br> Seasonal Max 47.26 <br> Seasonal Median 42.51 <br>
2001,Winter,23009,Hancock,ME,29.87,Hancock <br> Seasonal Max 31.82 <br> Seasonal Median 29.89 <br>
2001,Fall,23011,Kennebec,ME,32.31,Kennebec <br> Seasonal Max 33.72 <br> Seasonal Median 32.4 <br>
2001,Spring,23011,Kennebec,ME,41.85,Kennebec <br> Seasonal Max 43.07 <br> Seasonal Median 41.91 <br>
2001,Summer,23011,Kennebec,ME,40.93,Kennebec <br> Seasonal Max 42.58 <br> Seasonal Median 40.9 <br>
2001,Winter,23011,Kennebec,ME,27.6,Kennebec <br> Seasonal Max 28.39 <br> Seasonal Median 27.55 <br>
2001,Fall,23013,Knox,ME,34.19,Knox <br> Seasonal Max 35.88 <br> Seasonal Median 34.27 <br>
2001,Spring,23013,Knox,ME,42.11,Knox <br> Seasonal Max 43.54 <br> Seasonal Median 42.13 <br>
2001,Summer,23013,Knox,ME,45.36,Knox <br> Seasonal Max 47.77 <br> Seasonal Median 45.74 <br>
2001,Winter,23013,Knox,ME,29.2,Knox <br> Seasonal Max 31.14 <br> Seasonal Median 29.31 <br>
2001,Fall,23015,Lincoln,ME,33.72,Lincoln <br> Seasonal Max 34.9 <br> Seasonal Median 33.8 <br>
2001,Spring,23015,Lincoln,ME,41.86,Lincoln <br> Seasonal Max 42.86 <br> Seasonal Median 41.94 <br>
2001,Summer,23015,Lincoln,ME,43.9,Lincoln <br> Seasonal Max 46.83 <br> Seasonal Median 44.15 <br>
2001,Winter,23015,Lincoln,ME,28.3,Lincoln <br> Seasonal Max 28.93 <br> Seasonal Median 28.41 <br>
2001,Fall,23017,Oxford,ME,34.37,Oxford <br> Seasonal Max 36.38 <br> Seasonal Median 34.34 <br>
2001,Spring,23017,Oxford,ME,43.46,Oxford <br> Seasonal Max 45.58 <br> Seasonal Median 43.61 <br>
2001,Summer,23017,Oxford,ME,38.04,Oxford <br> Seasonal Max 41.56 <br> Seasonal Median 37.72 <br>
2001,Winter,23017,Oxford,ME,29.35,Oxford <br> Seasonal Max 30.75 <br> Seasonal Median 29.25 <br>
2001,Fall,23019,Penobscot,ME,31.82,Penobscot <br> Seasonal Max 34.69 <br> Seasonal Median 31.87 <br>
2001,Spring,23019,Penobscot,ME,42.95,Penobscot <br> Seasonal Max 44.33 <br> Seasonal Median 43.22 <br>
2001,Summer,23019,Penobscot,ME,40.71,Penobscot <br> Seasonal Max 43.47 <br> Seasonal Median 40.84 <br>
2001,Winter,23019,Penobscot,ME,27.86,Penobscot <br> Seasonal Max 29.06 <br> Seasonal Median 27.85 <br>
2001,Fall,23021,Piscataquis,ME,32.01,Piscataquis <br> Seasonal Max 35.46 <br> Seasonal Median 32.1 <br>
2001,Spring,23021,Piscataquis,ME,42.13,Piscataquis <br> Seasonal Max 43.2 <br> Seasonal Median 41.96 <br>
2001,Summer,23021,Piscataquis,ME,36.44,Piscataquis <br> Seasonal Max 40.1 <br> Seasonal Median 36.56 <br>
2001,Winter,23021,Piscataquis,ME,28.73,Piscataquis <br> Seasonal Max 29.28 <br> Seasonal Median 28.66 <br>
2001,Fall,23023,Sagadahoc,ME,33.62,Sagadahoc <br> Seasonal Max 34.43 <br> Seasonal Median 33.71 <br>
2001,Spring,23023,Sagadahoc,ME,42.46,Sagadahoc <br> Seasonal Max 42.83 <br> Seasonal Median 42.42 <br>
2001,Summer,23023,Sagadahoc,ME,43.73,Sagadahoc <br> Seasonal Max 46.08 <br> Seasonal Median 43.6 <br>
2001,Winter,23023,Sagadahoc,ME,27.72,Sagadahoc <br> Seasonal Max 28.3 <br> Seasonal Median 27.64 <br>
2001,Fall,23025,Somerset,ME,32.16,Somerset <br> Seasonal Max 35.77 <br> Seasonal Median 32.1 <br>
2001,Spring,23025,Somerset,ME,42.08,Somerset <br> Seasonal Max 43.84 <br> Seasonal Median 42 <br>
2001,Summer,23025,Somerset,ME,38.17,Somerset <br> Seasonal Max 41.31 <br> Seasonal Median 38.04 <br>
2001,Winter,23025,Somerset,ME,28.29,Somerset <br> Seasonal Max 29.52 <br> Seasonal Median 28.35 <br>
2001,Fall,23027,Waldo,ME,32.96,Waldo <br> Seasonal Max 33.84 <br> Seasonal Median 33.04 <br>
2001,Spring,23027,Waldo,ME,43.04,Waldo <br> Seasonal Max 44 <br> Seasonal Median 42.91 <br>
2001,Summer,23027,Waldo,ME,41.63,Waldo <br> Seasonal Max 44.07 <br> Seasonal Median 41.68 <br>
2001,Winter,23027,Waldo,ME,28.41,Waldo <br> Seasonal Max 28.92 <br> Seasonal Median 28.56 <br>
2001,Fall,23029,Washington,ME,35.49,Washington <br> Seasonal Max 36.94 <br> Seasonal Median 35.41 <br>
2001,Spring,23029,Washington,ME,41.54,Washington <br> Seasonal Max 43.38 <br> Seasonal Median 41.21 <br>
2001,Summer,23029,Washington,ME,42.46,Washington <br> Seasonal Max 45.87 <br> Seasonal Median 41.65 <br>
2001,Winter,23029,Washington,ME,29.04,Washington <br> Seasonal Max 30.53 <br> Seasonal Median 28.92 <br>
2001,Fall,23031,York,ME,33.59,York <br> Seasonal Max 35.45 <br> Seasonal Median 33.59 <br>
2001,Spring,23031,York,ME,43.14,York <br> Seasonal Max 44.96 <br> Seasonal Median 42.99 <br>
2001,Summer,23031,York,ME,43.98,York <br> Seasonal Max 48.47 <br> Seasonal Median 43.76 <br>
2001,Winter,23031,York,ME,27.75,York <br> Seasonal Max 29.62 <br> Seasonal Median 27.82 <br>
2001,Fall,36001,Albany,NY,31.3,Albany <br> Seasonal Max 35.54 <br> Seasonal Median 31.06 <br>
2001,Spring,36001,Albany,NY,43.75,Albany <br> Seasonal Max 48.02 <br> Seasonal Median 43.71 <br>
2001,Summer,36001,Albany,NY,49.39,Albany <br> Seasonal Max 51.71 <br> Seasonal Median 49.42 <br>
2001,Winter,36001,Albany,NY,23.17,Albany <br> Seasonal Max 28.79 <br> Seasonal Median 22.83 <br>
2001,Fall,36003,Allegany,NY,35.91,Allegany <br> Seasonal Max 36.75 <br> Seasonal Median 36.14 <br>
2001,Spring,36003,Allegany,NY,47.06,Allegany <br> Seasonal Max 47.97 <br> Seasonal Median 47.07 <br>
2001,Summer,36003,Allegany,NY,52.74,Allegany <br> Seasonal Max 54.73 <br> Seasonal Median 52.5 <br>
2001,Winter,36003,Allegany,NY,28.34,Allegany <br> Seasonal Max 29.26 <br> Seasonal Median 28.31 <br>
2001,Fall,36005,Bronx,NY,23.22,Bronx <br> Seasonal Max 26.12 <br> Seasonal Median 23.15 <br>
2001,Spring,36005,Bronx,NY,34.12,Bronx <br> Seasonal Max 36.77 <br> Seasonal Median 34.05 <br>
2001,Summer,36005,Bronx,NY,48.88,Bronx <br> Seasonal Max 52.17 <br> Seasonal Median 48.83 <br>
2001,Winter,36005,Bronx,NY,13.02,Bronx <br> Seasonal Max 15.9 <br> Seasonal Median 12.88 <br>
2001,Fall,36007,Broome,NY,34.26,Broome <br> Seasonal Max 34.87 <br> Seasonal Median 34.19 <br>
2001,Spring,36007,Broome,NY,46.17,Broome <br> Seasonal Max 48.05 <br> Seasonal Median 46.02 <br>
2001,Summer,36007,Broome,NY,51.67,Broome <br> Seasonal Max 53.55 <br> Seasonal Median 51.69 <br>
2001,Winter,36007,Broome,NY,27.1,Broome <br> Seasonal Max 28.76 <br> Seasonal Median 27.02 <br>
2001,Fall,36009,Cattaraugus,NY,35.99,Cattaraugus <br> Seasonal Max 36.95 <br> Seasonal Median 36.13 <br>
2001,Spring,36009,Cattaraugus,NY,46.1,Cattaraugus <br> Seasonal Max 47.45 <br> Seasonal Median 46.39 <br>
2001,Summer,36009,Cattaraugus,NY,53.14,Cattaraugus <br> Seasonal Max 56.38 <br> Seasonal Median 53.47 <br>
2001,Winter,36009,Cattaraugus,NY,28.28,Cattaraugus <br> Seasonal Max 29.81 <br> Seasonal Median 28.32 <br>
2001,Fall,36011,Cayuga,NY,33.5,Cayuga <br> Seasonal Max 34.48 <br> Seasonal Median 33.62 <br>
2001,Spring,36011,Cayuga,NY,44.18,Cayuga <br> Seasonal Max 46.47 <br> Seasonal Median 44.07 <br>
2001,Summer,36011,Cayuga,NY,49.4,Cayuga <br> Seasonal Max 52.35 <br> Seasonal Median 49.39 <br>
2001,Winter,36011,Cayuga,NY,26.1,Cayuga <br> Seasonal Max 27.67 <br> Seasonal Median 25.97 <br>
2001,Fall,36013,Chautauqua,NY,36.45,Chautauqua <br> Seasonal Max 37.3 <br> Seasonal Median 36.41 <br>
2001,Spring,36013,Chautauqua,NY,44.63,Chautauqua <br> Seasonal Max 46.36 <br> Seasonal Median 45.11 <br>
2001,Summer,36013,Chautauqua,NY,53.57,Chautauqua <br> Seasonal Max 57.15 <br> Seasonal Median 52.87 <br>
2001,Winter,36013,Chautauqua,NY,28.34,Chautauqua <br> Seasonal Max 29.75 <br> Seasonal Median 28.23 <br>
2001,Fall,36015,Chemung,NY,34.93,Chemung <br> Seasonal Max 35.77 <br> Seasonal Median 34.93 <br>
2001,Spring,36015,Chemung,NY,45.81,Chemung <br> Seasonal Max 46.29 <br> Seasonal Median 45.85 <br>
