year,season,countyfips,county,state,PM2.5,hover
2001,Fall,23001,Androscoggin,ME,7.97,Androscoggin <br> Seasonal Max 8.19 <br> Seasonal Median 8.02 <br>
2001,Spring,23001,Androscoggin,ME,8.64,Androscoggin <br> Seasonal Max 9.05 <br> Seasonal Median 8.66 <br>
2001,Summer,23001,Androscoggin,ME,10.63,Androscoggin <br> Seasonal Max 11.17 <br> Seasonal Median 10.6 <br>
2001,Winter,23001,Androscoggin,ME,10.66,Androscoggin <br> Seasonal Max 11.61 <br> Seasonal Median 10.74 <br>
2001,Fall,23003,Aroostook,ME,7.1,Aroostook <br> Seasonal Max 7.88 <br> Seasonal Median 7.36 <br>
2001,Spring,23003,Aroostook,ME,8.34,Aroostook <br> Seasonal Max 9.19 <br> Seasonal Median 8.26 <br>
2001,Summer,23003,Aroostook,ME,7.34,Aroostook <br> Seasonal Max 8.59 <br> Seasonal Median 7.28 <br>
2001,Winter,23003,Aroostook,ME,10.92,Aroostook <br> Seasonal Max 11.58 <br> Seasonal Median 11.01 <br>
2001,Fall,23005,Cumberland,ME,8.17,Cumberland <br> Seasonal Max 8.67 <br> Seasonal Median 8.29 <br>
2001,Spring,23005,Cumberland,ME,8.83,Cumberland <br> Seasonal Max 9.61 <br> Seasonal Median 8.95 <br>
2001,Summer,23005,Cumberland,ME,11.19,Cumberland <br> Seasonal Max 11.9 <br> Seasonal Median 11.42 <br>
2001,Winter,23005,Cumberland,ME,11.55,Cumberland <br> Seasonal Max 12.31 <br> Seasonal Median 11.86 <br>
2001,Fall,23007,Franklin,ME,7.17,Franklin <br> Seasonal Max 7.62 <br> Seasonal Median 7.08 <br>
2001,Spring,23007,Franklin,ME,8.24,Franklin <br> Seasonal Max 8.68 <br> Seasonal Median 8.17 <br>
2001,Summer,23007,Franklin,ME,10.23,Franklin <br> Seasonal Max 10.9 <br> Seasonal Median 10.01 <br>
2001,Winter,23007,Franklin,ME,9.48,Franklin <br> Seasonal Max 10.33 <br> Seasonal Median 9.16 <br>
2001,Fall,23009,Hancock,ME,6.05,Hancock <br> Seasonal Max 6.74 <br> Seasonal Median 5.99 <br>
2001,Spring,23009,Hancock,ME,7.68,Hancock <br> Seasonal Max 8.42 <br> Seasonal Median 7.6 <br>
2001,Summer,23009,Hancock,ME,9.47,Hancock <br> Seasonal Max 10.23 <br> Seasonal Median 9.52 <br>
2001,Winter,23009,Hancock,ME,9.28,Hancock <br> Seasonal Max 10.13 <br> Seasonal Median 9.27 <br>
2001,Fall,23011,Kennebec,ME,7.6,Kennebec <br> Seasonal Max 7.94 <br> Seasonal Median 7.59 <br>
2001,Spring,23011,Kennebec,ME,8.5,Kennebec <br> Seasonal Max 9.02 <br> Seasonal Median 8.52 <br>
2001,Summer,23011,Kennebec,ME,10.63,Kennebec <br> Seasonal Max 11.39 <br> Seasonal Median 10.54 <br>
2001,Winter,23011,Kennebec,ME,10.57,Kennebec <br> Seasonal Max 11.22 <br> Seasonal Median 10.6 <br>
2001,Fall,23013,Knox,ME,6.65,Knox <br> Seasonal Max 6.9 <br> Seasonal Median 6.68 <br>
2001,Spring,23013,Knox,ME,8.1,Knox <br> Seasonal Max 8.54 <br> Seasonal Median 8.1 <br>
2001,Summer,23013,Knox,ME,10.71,Knox <br> Seasonal Max 11.22 <br> Seasonal Median 10.79 <br>
2001,Winter,23013,Knox,ME,10.06,Knox <br> Seasonal Max 10.2 <br> Seasonal Median 10.07 <br>
2001,Fall,23015,Lincoln,ME,6.95,Lincoln <br> Seasonal Max 7.24 <br> Seasonal Median 6.81 <br>
2001,Spring,23015,Lincoln,ME,8.21,Lincoln <br> Seasonal Max 8.4 <br> Seasonal Median 8.14 <br>
2001,Summer,23015,Lincoln,ME,10.27,Lincoln <br> Seasonal Max 10.77 <br> Seasonal Median 10.26 <br>
2001,Winter,23015,Lincoln,ME,10.32,Lincoln <br> Seasonal Max 10.8 <br> Seasonal Median 10.26 <br>
2001,Fall,23017,Oxford,ME,7.22,Oxford <br> Seasonal Max 7.69 <br> Seasonal Median 7.15 <br>
2001,Spring,23017,Oxford,ME,7.99,Oxford <br> Seasonal Max 8.61 <br> Seasonal Median 7.99 <br>
2001,Summer,23017,Oxford,ME,10.06,Oxford <br> Seasonal Max 10.71 <br> Seasonal Median 9.97 <br>
2001,Winter,23017,Oxford,ME,9.49,Oxford <br> Seasonal Max 10.22 <br> Seasonal Median 9.52 <br>
2001,Fall,23019,Penobscot,ME,6.83,Penobscot <br> Seasonal Max 7.98 <br> Seasonal Median 6.88 <br>
2001,Spring,23019,Penobscot,ME,8.3,Penobscot <br> Seasonal Max 9.02 <br> Seasonal Median 8.3 <br>
2001,Summer,23019,Penobscot,ME,10.02,Penobscot <br> Seasonal Max 10.88 <br> Seasonal Median 10.1 <br>
2001,Winter,23019,Penobscot,ME,9.76,Penobscot <br> Seasonal Max 11.8 <br> Seasonal Median 9.89 <br>
2001,Fall,23021,Piscataquis,ME,6.94,Piscataquis <br> Seasonal Max 7.27 <br> Seasonal Median 6.78 <br>
2001,Spring,23021,Piscataquis,ME,8.11,Piscataquis <br> Seasonal Max 8.57 <br> Seasonal Median 8.07 <br>
2001,Summer,23021,Piscataquis,ME,9.6,Piscataquis <br> Seasonal Max 9.82 <br> Seasonal Median 9.53 <br>
2001,Winter,23021,Piscataquis,ME,9.26,Piscataquis <br> Seasonal Max 9.58 <br> Seasonal Median 9.15 <br>
2001,Fall,23023,Sagadahoc,ME,7.45,Sagadahoc <br> Seasonal Max 7.74 <br> Seasonal Median 7.47 <br>
2001,Spring,23023,Sagadahoc,ME,8.57,Sagadahoc <br> Seasonal Max 8.83 <br> Seasonal Median 8.61 <br>
2001,Summer,23023,Sagadahoc,ME,10.35,Sagadahoc <br> Seasonal Max 10.58 <br> Seasonal Median 10.36 <br>
2001,Winter,23023,Sagadahoc,ME,11.39,Sagadahoc <br> Seasonal Max 11.84 <br> Seasonal Median 11.32 <br>
2001,Fall,23025,Somerset,ME,7.44,Somerset <br> Seasonal Max 7.97 <br> Seasonal Median 7.46 <br>
2001,Spring,23025,Somerset,ME,8.44,Somerset <br> Seasonal Max 9.06 <br> Seasonal Median 8.48 <br>
2001,Summer,23025,Somerset,ME,10.2,Somerset <br> Seasonal Max 10.87 <br> Seasonal Median 10.18 <br>
2001,Winter,23025,Somerset,ME,9.84,Somerset <br> Seasonal Max 10.42 <br> Seasonal Median 9.82 <br>
2001,Fall,23027,Waldo,ME,6.68,Waldo <br> Seasonal Max 7.2 <br> Seasonal Median 6.73 <br>
2001,Spring,23027,Waldo,ME,8.29,Waldo <br> Seasonal Max 8.7 <br> Seasonal Median 8.27 <br>
2001,Summer,23027,Waldo,ME,10.15,Waldo <br> Seasonal Max 10.58 <br> Seasonal Median 10.15 <br>
2001,Winter,23027,Waldo,ME,9.9,Waldo <br> Seasonal Max 10.29 <br> Seasonal Median 9.91 <br>
2001,Fall,23029,Washington,ME,5.85,Washington <br> Seasonal Max 6.65 <br> Seasonal Median 5.86 <br>
2001,Spring,23029,Washington,ME,7.64,Washington <br> Seasonal Max 8.41 <br> Seasonal Median 7.71 <br>
2001,Summer,23029,Washington,ME,9.13,Washington <br> Seasonal Max 10.01 <br> Seasonal Median 9.05 <br>
2001,Winter,23029,Washington,ME,8.53,Washington <br> Seasonal Max 9.13 <br> Seasonal Median 8.45 <br>
