"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"23001","Androscoggin County, ME","365","292","73",".",".",".","93","59","35",".",".","123",".","242","."
"23003","Aroostook County, ME","365","349","16",".",".",".","66","45","32",".",".","249",".","101","15"
"23005","Cumberland County, ME","365","303","59","2","1",".","161","58","37",".","12","227","1","124","1"
"23009","Hancock County, ME","365","335","26","3","1",".","166","49","36",".",".","355",".","10","."
"23011","Kennebec County, ME","211","195","16",".",".",".","97","49","31",".",".","182",".",".","29"
"23013","Knox County, ME","181","166","12","3",".",".","115","49","34",".",".","181",".",".","."
"23017","Oxford County, ME","199","196","3",".",".",".","71","44","31",".",".","199",".",".","."
"23019","Penobscot County, ME","365","321","44",".",".",".","80","54","35",".",".","238",".","127","."
"23021","Piscataquis County, ME","105","101","4",".",".",".","60","39","27",".",".",".",".","105","."
"23023","Sagadahoc County, ME","179","165","14",".",".",".","87","48","32",".",".","179",".",".","."
"23029","Washington County, ME","316","310","5","1",".",".","105","44","31",".",".","289",".","27","."
"23031","York County, ME","271","237","29","4","1",".","151","54","36",".",".","271",".",".","."
