"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"36001","Albany County, NY","365","269","93","3",".",".","115","63","39",".",".","181","1","183","."
"36005","Bronx County, NY","365","200","157","8",".",".","147","76","48",".","73","51","4","237","."
"36013","Chautauqua County, NY","365","303","58","4",".",".","133","60","38",".",".","310","24","31","."
"36015","Chemung County, NY","365","342","23",".",".",".","97","47","33",".",".","362","3",".","."
"36027","Dutchess County, NY","361","337","21","3",".",".","122","45","31",".",".","361",".",".","."
"36029","Erie County, NY","365","230","132","3",".",".","126","68","46",".","24","106","2","233","."
"36031","Essex County, NY","365","312","51","2",".",".","136","58","41",".",".","321",".","44","."
"36033","Franklin County, NY","365","357","5","3",".",".","147","42","21",".","97","196","62",".","10"
"36041","Hamilton County, NY","364","335","27","2",".",".","105","47","34",".",".","361","3",".","."
"36043","Herkimer County, NY","365","341","23","1",".",".","105","47","34",".",".","362","3",".","."
"36045","Jefferson County, NY","324","299","22","2","1",".","154","48","34",".",".","324",".",".","."
"36047","Kings County, NY","365","243","121","1",".",".","105","64","41",".",".",".",".","365","."
"36053","Madison County, NY","363","342","21",".",".",".","97","48","34",".",".","360","3",".","."
"36055","Monroe County, NY","365","308","55","1","1",".","161","56","37","2",".","209","11","143","."
"36059","Nassau County, NY","365","263","101","1",".",".","108","65","36",".","90",".",".","275","."
"36061","New York County, NY","365","167","193","5",".",".","126","75","52",".",".","46",".","319","."
"36063","Niagara County, NY","365","277","86","2",".",".","129","59","40","5",".","152","7","201","."
"36065","Oneida County, NY","365","295","70",".",".",".","86","58","33",".",".","228",".","137","."
"36067","Onondaga County, NY","365","333","31","1",".",".","119","49","33","6",".","309","2","48","."
"36071","Orange County, NY","365","275","87","3",".",".","108","61","39",".",".","209",".","156","."
"36075","Oswego County, NY","339","327","11","1",".",".","108","47","34",".",".","339",".",".","."
"36079","Putnam County, NY","365","345","17","3",".",".","129","45","32",".",".","357","8",".","."
"36081","Queens County, NY","365","235","128","2",".",".","112","71","44",".","68","84",".","213","."
"36083","Rensselaer County, NY","365","341","21","3",".",".","122","47","34",".",".","364","1",".","."
"36085","Richmond County, NY","365","254","100","11",".",".","150","74","41",".",".","162",".","203","."
"36087","Rockland County, NY","207","178","29",".",".",".","100","58","33",".",".","159",".","48","."
"36089","St. Lawrence County, NY","39","38","1",".",".",".","83","41","20",".",".",".",".","39","."
"36091","Saratoga County, NY","363","336","25","2",".",".","122","48","34",".",".","363",".",".","."
"36093","Schenectady County, NY","362","352","9","1",".",".","112","45","30","3",".","340","19",".","."
"36101","Steuben County, NY","365","312","52","1",".",".","101","55","36",".","1","226","2","136","."
"36103","Suffolk County, NY","365","294","64","6","1",".","151","67","40","1","32","300","11","21","."
"36109","Tompkins County, NY","347","328","19",".",".",".","93","47","34",".",".","347",".",".","."
"36111","Ulster County, NY","364","338","25","1",".",".","108","48","36",".",".","362","2",".","."
"36117","Wayne County, NY","217","198","19",".",".",".","97","49","34",".",".","217",".",".","."
"36119","Westchester County, NY","365","280","75","10",".",".","119","67","37",".",".","216",".","149","."
