"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","364","310","45","9",".",".","116","60","23",".",".",".","364",".","."
"39003","Allen County, OH","365","282","48","24","11",".","200","100","33",".",".","207","138",".","20"
"39007","Ashtabula County, OH","365","268","55","17","22","3","203","112","37",".",".","202","163",".","."
"39009","Athens County, OH","112","66","45","1",".",".","104","71","45.5",".",".",".",".","110","2"
"39013","Belmont County, OH","356","234","80","39","3",".","180","103","35",".",".",".","339",".","17"
"39017","Butler County, OH","365","97","211","36","19","2","208","122","60",".",".","127","43","195","."
"39023","Clark County, OH","365","213","95","35","21","1","214","129","46",".",".","180","112","73","."
"39025","Clermont County, OH","365","235","89","29","11","1","208","105","42",".",".","178","187",".","."
"39027","Clinton County, OH","207","103","56","32","15","1","207","143","51",".",".","207",".",".","."
"39029","Columbiana County, OH","357","258","64","34","1",".","200","99","26",".",".",".","351",".","6"
"39033","Crawford County, OH","363","266","53","26","18",".","182","105","36",".",".","363",".",".","."
"39035","Cuyahoga County, OH","365","84","235","23","22","1","202","107","64",".","17","61","48","234","5"
"39041","Delaware County, OH","213","116","53","27","17",".","200","136","48",".",".","213",".",".","."
"39047","Fayette County, OH","356","261","58","27","10",".","190","101","36",".",".","356",".",".","."
"39049","Franklin County, OH","365","100","208","30","26","1","214","129","61",".",".","124","2","236","3"
"39053","Gallia County, OH","350","279","61","10",".",".","132","71.5","27",".",".",".","313","37","."
"39055","Geauga County, OH","213","107","59","21","17","9","218","161","50",".",".","213",".",".","."
"39057","Greene County, OH","239","139","64","24","12",".","190","122","46",".",".","214",".",".","25"
"39061","Hamilton County, OH","365","66","218","59","20","2","213","131","65",".","14","81","76","194","."
"39063","Hancock County, OH","45","45",".",".",".",".","38","32","23",".",".",".",".",".","45"
"39081","Jefferson County, OH","365","88","200","60","17",".","185","123","66","3",".","70","105","186","1"
"39083","Knox County, OH","209","121","48","26","14",".","185","140","49",".",".","209",".",".","."
"39085","Lake County, OH","365","159","118","63","22","3","210","126","57","11",".","120","186","47","1"
"39087","Lawrence County, OH","364","215","104","31","14",".","200","105","45",".",".","152","124","87","1"
"39089","Licking County, OH","237","139","58","28","11","1","204","133","45",".",".","212",".",".","25"
"39093","Lorain County, OH","365","218","114","16","16","1","210","97","43",".",".","141","142","82","."
"39095","Lucas County, OH","365","114","210","28","13",".","195","103","60",".",".","98","62","205","."
"39097","Madison County, OH","214","106","57","35","16",".","192","143","51",".",".","214",".",".","."
"39099","Mahoning County, OH","365","143","182","26","14",".","195","105","55",".",".","96","34","235","."
"39103","Medina County, OH","214","134","41","25","14",".","179","129","44",".",".","214",".",".","."
"39105","Meigs County, OH","352","290","53","9",".",".","115","62","17",".",".",".","352",".","."
"39109","Miami County, OH","210","103","65","27","15",".","192","141.5","51",".",".","210",".",".","."
"39111","Monroe County, OH","57","53","4",".",".",".","66","45","23",".",".",".",".",".","57"
"39113","Montgomery County, OH","365","131","195","25","13","1","204","106","57","6",".","101","5","253","."
"39115","Morgan County, OH","349","272","39","35","3",".","180","102","21",".",".",".","349",".","."
"39121","Noble County, OH","254","182","58","10","4",".","192","84","36",".",".","164",".","90","."
"39133","Portage County, OH","250","139","80","14","17",".","187","120.5","47",".",".","167",".","83","."
"39135","Preble County, OH","249","136","86","15","12",".","179","105","49",".",".","177",".","72","."
"39145","Scioto County, OH","365","277","84","4",".",".","139","69","27",".",".",".","254","109","2"
"39147","Seneca County, OH","174","172","2",".",".",".","54","35","17",".",".",".",".",".","174"
"39151","Stark County, OH","365","202","114","31","18",".","195","119","47","26",".","160","81","88","10"
"39153","Summit County, OH","365","79","197","67","20","2","207","126","67",".",".","67","136","159","3"
"39155","Trumbull County, OH","358","165","151","20","21","1","201","115","53",".",".","137",".","219","2"
"39157","Tuscarawas County, OH","363","297","50","16",".",".","148","74","20",".",".",".","363",".","."
"39165","Warren County, OH","214","119","51","30","13","1","206","129","48",".",".","214",".",".","."
"39167","Washington County, OH","283","185","57","26","14","1","201","119","44",".",".","206",".",".","77"
"39173","Wood County, OH","213","147","35","17","13","1","203","129","44",".",".","213",".",".","."
"39175","Wyandot County, OH","162","154","8",".",".",".","58","43","23",".",".",".",".",".","162"
