"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","365","359","6",".",".",".","85","35","23",".",".",".","1","364","."
"39003","Allen County, OH","365","316","48","1",".",".","112","54","37",".",".","231",".","134","."
"39007","Ashtabula County, OH","365","332","31","2",".",".","143","50","34",".",".","245","120",".","."
"39009","Athens County, OH","59","56","3",".",".",".","56","44","26",".",".",".",".","59","."
"39013","Belmont County, OH","365","354","11",".",".",".","75","36","15","1","254",".",".","103","7"
"39017","Butler County, OH","365","275","83","7",".",".","126","67","42",".",".","288","10","65","2"
"39023","Clark County, OH","365","266","97","2",".",".","105","63","41",".",".","174",".","191","."
"39025","Clermont County, OH","365","272","91","2",".",".","129","60","42",".",".","164",".","201","."
"39027","Clinton County, OH","245","206","36","3",".",".","143","61","42",".",".","245",".",".","."
"39029","Columbiana County, OH","365","365",".",".",".",".","26","13","3",".",".",".","304",".","61"
"39035","Cuyahoga County, OH","365","229","131","5",".",".","126","70","44",".","15","182","10","151","7"
"39041","Delaware County, OH","245","228","17",".",".",".","90","49","38",".",".","245",".",".","."
"39047","Fayette County, OH","357","326","30","1",".",".","115","49","35",".",".","357",".",".","."
"39049","Franklin County, OH","365","287","75","3",".",".","112","61","41",".","28","192",".","142","3"
"39053","Gallia County, OH","365","355","9","1",".",".","101","30","6",".",".",".","365",".","."
"39055","Geauga County, OH","245","192","49","4",".",".","122","67","43",".",".","245",".",".","."
"39057","Greene County, OH","364","287","76","1",".",".","101","58","40",".",".","182",".","182","."
"39061","Hamilton County, OH","365","190","170","5",".",".","129","70","50",".","19","132",".","214","."
"39081","Jefferson County, OH","365","189","175","1",".",".","110","67","50",".",".","78","10","277","."
"39083","Knox County, OH","245","223","22",".",".",".","100","50","38",".",".","245",".",".","."
"39085","Lake County, OH","365","299","60","6",".",".","147","64","38","1",".","199","2","163","."
"39087","Lawrence County, OH","365","331","32","1","1",".","159","49","36",".",".","214",".","151","."
"39089","Licking County, OH","245","221","24",".",".",".","100","50","39",".",".","245",".",".","."
"39093","Lorain County, OH","365","323","41","1",".",".","101","52","36",".",".","225",".","140","."
"39095","Lucas County, OH","365","282","79","4",".",".","126","64","41",".",".","187","3","175","."
"39097","Madison County, OH","244","211","32","1",".",".","105","54","41",".",".","244",".",".","."
"39099","Mahoning County, OH","365","302","63",".",".",".","80","55","36",".",".","123",".","242","."
"39103","Medina County, OH","364","292","72",".",".",".","100","58","40",".",".","200",".","164","."
"39109","Miami County, OH","245","210","34","1",".",".","101","58","40",".",".","245",".",".","."
"39113","Montgomery County, OH","365","288","76","1",".",".","101","61","40","12",".","193",".","160","."
"39115","Morgan County, OH","362","361","1",".",".",".","56","9","1",".",".",".","362",".","."
"39121","Noble County, OH","354","324","30",".",".",".","97","49","38",".",".","330",".","24","."
"39133","Portage County, OH","281","248","33",".",".",".","97","51","39",".",".","225",".","56","."
"39135","Preble County, OH","365","301","63","1",".",".","108","55","39","2",".","239",".","124","."
"39145","Scioto County, OH","365","358","7",".",".",".","67","30","13",".",".",".","28","96","241"
"39151","Stark County, OH","365","250","113","2",".",".","119","64","44","5",".","177",".","183","."
"39153","Summit County, OH","365","273","92",".",".",".","97","59","39",".",".","165",".","200","."
"39155","Trumbull County, OH","352","276","74","2",".",".","115","58","41",".",".","169",".","183","."
"39165","Warren County, OH","358","253","104","1",".",".","115","62","44",".",".","178",".","180","."
"39167","Washington County, OH","245","219","26",".",".",".","97","51","41",".",".","245",".",".","."
"39173","Wood County, OH","245","217","28",".",".",".","97","54","38",".",".","245",".",".","."
