"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"42001","Adams County, PA","243","166","74","3",".",".","129","67","43","1",".","155",".","87","."
"42003","Allegheny County, PA","274","129","140","4","1",".","153","84","52","1",".","95","2","176","."
"42005","Armstrong County, PA","228","157","70","1",".",".","108","74","43",".",".","141",".","87","."
"42007","Beaver County, PA","243","159","81","3",".",".","125","68","45",".","1","118",".","124","."
"42011","Berks County, PA","243","170","68","5",".",".","133","76","43",".",".","151",".","92","."
"42013","Blair County, PA","227","174","51","2",".",".","120","61","38",".",".","80","9","138","."
"42015","Bradford County, PA","234","191","42","1",".",".","116","60","39",".",".","127",".","107","."
"42017","Bucks County, PA","222","179","33","10",".",".","143","67","39",".",".","222",".",".","."
"42021","Cambria County, PA","232","153","78","1",".",".","130","67","44","4",".","95",".","133","."
"42027","Centre County, PA","243","188","53","1","1",".","161","64","41",".",".","161","1","81","."
"42029","Chester County, PA","230","186","42","2",".",".","138","61","39",".",".","121",".","109","."
"42033","Clearfield County, PA","223","220","3",".",".",".","54","44","34",".",".","223",".",".","."
"42041","Cumberland County, PA","241","185","55","1",".",".","114","58","36",".",".",".",".","241","."
"42043","Dauphin County, PA","237","159","76","2",".",".","127","70","43",".",".","101",".","136","."
"42045","Delaware County, PA","243","173","67","3",".",".","142","71","42",".","5","131",".","107","."
"42047","Elk County, PA","238","220","18",".",".",".","87","49","37",".",".","238",".",".","."
"42049","Erie County, PA","208","176","32",".",".",".","91","54","36.5","3","3","130",".","65","7"
"42051","Fayette County, PA","232","178","53","1",".",".","113","59","38",".",".","101",".","131","."
"42055","Franklin County, PA","227","213","14",".",".",".","77","48","36",".",".","227",".",".","."
"42059","Greene County, PA","227","168","58","1",".",".","113","62","42",".",".","144",".","83","."
"42063","Indiana County, PA","226","164","60","2",".",".","122","64","41",".",".","122",".","104","."
"42069","Lackawanna County, PA","235","192","42","1",".",".","137","58","38","2","15","143",".","75","."
"42071","Lancaster County, PA","243","139","100","3","1",".","155","74","48",".",".","88",".","152","3"
"42073","Lawrence County, PA","217","198","19",".",".",".","87","50","32",".",".","217",".",".","."
"42075","Lebanon County, PA","243","181","60","2",".",".","117","67","41",".",".","114",".","129","."
"42077","Lehigh County, PA","234","175","58",".","1",".","153","64","39",".",".","110",".","119","5"
"42079","Luzerne County, PA","233","216","17",".",".",".","90","49","35",".",".","204",".",".","29"
"42081","Lycoming County, PA","232","192","39","1",".",".","111","58","39",".",".","126",".","106","."
"42085","Mercer County, PA","243","189","53","1",".",".","112","67","40",".",".","170",".","73","."
"42089","Monroe County, PA","206","189","17",".",".",".","84","49","36",".",".","206",".",".","."
"42091","Montgomery County, PA","234","172","56","6",".",".","150","71","42",".",".","131",".","103","."
"42095","Northampton County, PA","243","183","56","4",".",".","148","74","42",".","4","139",".","100","."
"42101","Philadelphia County, PA","274","171","92","9","2",".","152","79","46","1","13","135",".","125","."
"42111","Somerset County, PA","242","218","24",".",".",".","90","50","37.5",".",".","242",".",".","."
"42115","Susquehanna County, PA","216","190","24","2",".",".","133","53","28",".",".",".",".","216","."
"42117","Tioga County, PA","228","188","39","1",".",".","131","58","39",".",".","165",".","63","."
"42123","Warren County, PA","229","221","4","4",".",".","139","33","9",".",".",".","229",".","."
"42125","Washington County, PA","243","154","88","1",".",".","123","71","45",".",".","120","1","122","."
"42129","Westmoreland County, PA","232","168","63","1",".",".","124","62","39.5",".",".","49",".","183","."
"42131","Wyoming County, PA","220","197","22","1",".",".","127","51","26.5",".",".",".",".","220","."
"42133","York County, PA","235","157","76","2",".",".","148","71","43",".",".","120",".","115","."
