year,county,state,days,good,moderate,unhealthy_for_sensitive_groups,unhealthy,very_unhealthy,max_aqi,90%_aqi,median_aqi,co,no2,o3,so2,pm2_5,pm10
2001,Albany,NY,365,266,81,12,6,NA,179,77,40,NA,NA,252,54,59,NA
2001,Bronx,NY,356,135,193,26,2,NA,155,93,57,1,60,59,29,207,NA
2001,Broome,NY,109,71,37,1,NA,NA,102,71,37,NA,NA,NA,NA,109,NA
2001,Chautauqua,NY,365,145,128,68,24,NA,200,132,61,NA,NA,171,170,24,NA
2001,Chemung,NY,365,293,54,17,1,NA,151,80,35,NA,NA,311,54,NA,NA
2001,Columbia,NY,46,46,NA,NA,NA,NA,35,27,10,NA,NA,NA,NA,NA,46
2001,Dutchess,NY,331,242,66,15,8,NA,187,84,39,NA,NA,274,NA,57,NA
2001,Erie,NY,365,139,133,74,18,1,209,132,57,NA,58,107,153,47,NA
2001,Essex,NY,365,264,81,16,4,NA,166,87,43,NA,NA,332,NA,33,NA
2001,Franklin,NY,337,337,NA,NA,NA,NA,44,22,10,NA,NA,NA,NA,NA,337
2001,Hamilton,NY,364,311,42,9,2,NA,156,61,37,NA,NA,363,1,NA,NA
2001,Herkimer,NY,361,326,28,7,NA,NA,147,50,35,NA,NA,351,8,NA,2
2001,Jefferson,NY,244,165,48,14,15,2,209,108,45,NA,NA,244,NA,NA,NA
2001,Kings,NY,361,281,77,3,NA,NA,140,71,20,225,NA,NA,NA,136,NA
2001,Madison,NY,364,293,54,15,2,NA,161,74,38,NA,NA,337,27,NA,NA
2001,Monroe,NY,365,230,112,19,4,NA,172,89,44,3,NA,153,150,59,NA
2001,Nassau,NY,358,265,91,2,NA,NA,138,66,38,NA,240,NA,25,93,NA
2001,New York,NY,365,119,201,35,7,3,207,108,61,NA,91,77,33,162,2
2001,Niagara,NY,365,271,67,18,8,1,207,90,38,3,NA,272,26,62,2
2001,Oneida,NY,338,260,68,7,3,NA,166,74,40,NA,NA,267,NA,71,NA
2001,Onondaga,NY,365,278,68,16,3,NA,182,76,38,10,NA,261,25,69,NA
2001,Orange,NY,260,167,68,14,11,NA,182,100,44,NA,NA,188,NA,72,NA
2001,Putnam,NY,364,294,46,15,8,1,206,77,31,NA,NA,214,150,NA,NA
2001,Queens,NY,365,181,162,19,3,NA,192,86,51,NA,149,67,21,128,NA
2001,Rensselaer,NY,249,249,NA,NA,NA,NA,44,19,4,NA,NA,25,224,NA,NA
2001,Richmond,NY,268,156,83,20,7,2,205,108,44.5,NA,NA,183,NA,85,NA
2001,Saratoga,NY,337,284,32,15,6,NA,192,77,36,NA,NA,337,NA,NA,NA
2001,Schenectady,NY,365,293,56,15,1,NA,159,69,36,10,NA,259,35,61,NA
2001,St. Lawrence,NY,108,86,21,1,NA,NA,105,62,24.5,NA,NA,NA,NA,108,NA
2001,Steuben,NY,334,222,105,7,NA,NA,150,70,36,NA,NA,NA,NA,334,NA
2001,Suffolk,NY,365,255,85,17,6,2,213,85,42,NA,82,209,14,60,NA
2001,Tompkins,NY,359,278,59,21,1,NA,151,80,39,NA,NA,339,NA,20,NA
2001,Ulster,NY,365,299,47,17,2,NA,164,77,39,NA,NA,357,8,NA,NA
2001,Wayne,NY,356,312,28,12,4,NA,197,67,34,NA,NA,356,NA,NA,NA
2001,Westchester,NY,360,257,80,15,7,1,202,85,38,NA,NA,294,NA,66,NA
2001,Franklin,OH,365,89,232,35,9,NA,187,105,62,NA,NA,111,2,251,1
2001,Hamilton,OH,365,77,205,74,9,NA,200,123,70,NA,13,87,72,193,NA
2001,Jefferson,OH,365,86,192,77,9,1,202,122,69,2,NA,68,112,182,1
2001,Madison,OH,214,124,64,23,3,NA,192,108,48,NA,NA,214,NA,NA,NA
2001,Monroe,OH,59,57,2,NA,NA,NA,54,43,24,NA,NA,NA,NA,NA,59
2001,Adams,OH,360,306,48,6,NA,NA,121,59.5,21,NA,NA,NA,360,NA,NA
2001,Allen,OH,361,294,55,11,1,NA,159,71,32,NA,NA,204,135,NA,22
2001,Ashtabula,OH,364,278,44,31,11,NA,200,108,37,NA,NA,210,154,NA,NA
2001,Athens,OH,114,63,50,1,NA,NA,114,73,45,NA,NA,NA,NA,113,1
2001,Belmont,OH,363,223,97,38,5,NA,188,105,37,NA,NA,NA,343,NA,20
2001,Butler,OH,365,100,218,42,5,NA,195,108,63,NA,NA,126,38,201,NA
2001,Clark,OH,365,225,117,20,3,NA,166,90,44,NA,NA,182,113,70,NA
2001,Clermont,OH,365,238,98,26,3,NA,164,93,43,NA,NA,178,187,NA,NA
2001,Clinton,OH,214,116,63,28,5,2,203,119,49,NA,NA,214,NA,NA,NA
2001,Columbiana,OH,342,204,96,41,1,NA,199,106,34,NA,NA,NA,333,NA,9
2001,Crawford,OH,363,271,59,29,4,NA,161,97,38,NA,NA,363,NA,NA,NA
2001,Cuyahoga,OH,365,62,235,59,9,NA,185,114,71,NA,15,47,57,240,6
2001,Delaware,OH,213,117,65,25,6,NA,177,112,48,NA,NA,213,NA,NA,NA
2001,Fayette,OH,363,279,66,17,1,NA,174,80,38,NA,NA,363,NA,NA,NA
2001,Gallia,OH,165,142,18,5,NA,NA,143,62,19,NA,NA,NA,165,NA,NA
2001,Geauga,OH,214,119,54,20,21,NA,192,147,47.5,NA,NA,214,NA,NA,NA
2001,Greene,OH,237,147,74,14,2,NA,161,97,46,NA,NA,211,NA,NA,26
2001,Hancock,OH,55,55,NA,NA,NA,NA,38,32,23,NA,NA,NA,NA,NA,55
2001,Knox,OH,214,128,56,23,7,NA,179,112,48,NA,NA,214,NA,NA,NA
2001,Lake,OH,365,185,125,47,8,NA,190,112,50,6,NA,133,169,57,NA
2001,Lawrence,OH,365,196,130,37,2,NA,174,101,48,NA,NA,166,123,75,1
2001,Licking,OH,237,149,64,21,3,NA,169,101,45,NA,NA,213,NA,NA,24
2001,Lorain,OH,365,241,96,24,4,NA,161,90,40,NA,NA,153,119,74,19
2001,Lucas,OH,365,110,212,34,9,NA,190,108,62,NA,NA,110,41,210,4
2001,Mahoning,OH,365,121,199,40,4,1,202,108,58,NA,NA,80,47,238,NA
2001,Medina,OH,214,129,57,21,7,NA,195,112,45,NA,NA,214,NA,NA,NA
2001,Meigs,OH,359,281,56,22,NA,NA,137,87,19,NA,NA,NA,359,NA,NA
2001,Miami,OH,214,121,81,11,1,NA,177,93,48,NA,NA,214,NA,NA,NA
2001,Montgomery,OH,365,112,219,31,3,NA,172,100,61,4,NA,96,3,260,2
2001,Morgan,OH,361,306,25,25,5,NA,200,85,10,NA,NA,NA,361,NA,NA
2001,Noble,OH,363,238,93,27,5,NA,174,97,41,NA,NA,343,NA,20,NA
2001,Ottawa,OH,20,20,NA,NA,NA,NA,40,30.5,23.5,NA,NA,NA,NA,NA,20
2001,Portage,OH,263,137,93,23,10,NA,195,108,49,NA,NA,183,NA,80,NA
2001,Preble,OH,255,157,83,15,NA,NA,136,84,46,NA,NA,176,NA,79,NA
2001,Sandusky,OH,20,20,NA,NA,NA,NA,36,32.5,21,NA,NA,NA,NA,NA,20
2001,Scioto,OH,362,244,103,13,2,NA,158,80,37,NA,NA,NA,213,106,43
2001,Seneca,OH,174,170,4,NA,NA,NA,56,35,18,NA,NA,NA,NA,NA,174
