"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"23001","Androscoggin County, ME","360","344","16",".",".",".","66","44","29",".",".","188",".","169","3"
"23003","Aroostook County, ME","366","341","24",".","1",".","189","47","33",".",".","255",".","95","16"
"23005","Cumberland County, ME","366","320","46",".",".",".","97","53","38",".","11","229",".","125","1"
"23009","Hancock County, ME","366","339","26","1",".",".","105","48","35",".",".","357",".","9","."
"23011","Kennebec County, ME","230","227","3",".",".",".","64","44","35",".","4","196",".","29","1"
"23013","Knox County, ME","148","142","6",".",".",".","71","45","31",".",".","148",".",".","."
"23017","Oxford County, ME","324","313","11",".",".",".","65","44","33",".",".","224",".","100","."
"23019","Penobscot County, ME","362","351","11",".",".",".","73","44","29",".",".","208",".","151","3"
"23029","Washington County, ME","348","346","2",".",".",".","61","44","33",".",".","348",".",".","."
"23031","York County, ME","235","223","12",".",".",".","87","47","39",".",".","235",".",".","."
