"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"36001","Albany County, NY","366","307","56","3",".",".","143","55","38",".",".","178","1","187","."
"36005","Bronx County, NY","366","291","74","1",".",".","108","61","39",".","34","175",".","157","."
"36013","Chautauqua County, NY","363","338","25",".",".",".","93","47","35",".",".","351",".","12","."
"36027","Dutchess County, NY","365","356","9",".",".",".","87","44","33",".",".","331","34",".","."
"36029","Erie County, NY","366","317","47",".","2",".","155","52","37",".","9","217","1","139","."
"36031","Essex County, NY","366","351","15",".",".",".","80","47","38",".",".","359","1","6","."
"36041","Hamilton County, NY","361","358","3",".",".",".","54","44","34",".",".","357","4",".","."
"36045","Jefferson County, NY","360","345","15",".",".",".","90","44","33",".",".","360",".",".","."
"36047","Kings County, NY","365","338","27",".",".",".","77","47","23",".",".",".",".","365","."
"36055","Monroe County, NY","366","323","43",".",".",".","80","52","36",".",".","232",".","134","."
"36059","Nassau County, NY","364","347","17",".",".",".","72","41","20",".",".",".","13","351","."
"36061","New York County, NY","366","311","54","1",".",".","108","56","37","2",".","218",".","146","."
"36063","Niagara County, NY","359","340","19",".",".",".","87","46","34",".",".","359",".",".","."
"36065","Oneida County, NY","349","334","15",".",".",".","78","36","16",".",".",".",".","349","."
"36067","Onondaga County, NY","364","336","28",".",".",".","74","48","35",".",".","274",".","90","."
"36071","Orange County, NY","366","342","24",".",".",".","97","47","36",".",".","253",".","113","."
"36075","Oswego County, NY","359","349","10",".",".",".","58","44","33",".",".","359",".",".","."
"36079","Putnam County, NY","356","350","6",".",".",".","64","44","32",".",".","314","42",".","."
"36081","Queens County, NY","366","298","65","3",".",".","140","61","38",".","47","210",".","109","."
"36085","Richmond County, NY","364","319","43","2",".",".","108","52","35.5",".",".","205",".","159","."
"36087","Rockland County, NY","366","340","26",".",".",".","93","48","34",".",".","297",".","69","."
"36089","St. Lawrence County, NY","365","295","56","14",".",".","118","69","14",".",".",".","365",".","."
"36091","Saratoga County, NY","319","315","4",".",".",".","61","44","33",".",".","319",".",".","."
"36101","Steuben County, NY","365","356","9",".",".",".","79","44","34",".",".","304",".","61","."
"36103","Suffolk County, NY","366","309","51","6",".",".","133","59","37",".",".","289",".","77","."
"36109","Tompkins County, NY","364","359","5",".",".",".","64","44","34",".",".","364",".",".","."
"36117","Wayne County, NY","327","305","22",".",".",".","80","46","34",".",".","327",".",".","."
"36119","Westchester County, NY","363","327","35","1",".",".","105","50","36",".",".","275",".","88","."
