"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","365","266","97","2",".",".","105","68","32",".",".",".","48","317","."
"39003","Allen County, OH","364","283","72","9",".",".","119","73","36",".",".","190","6","167","1"
"39007","Ashtabula County, OH","365","307","50","7","1",".","154","74","30",".",".","211","154",".","."
"39009","Athens County, OH","347","280","63","4",".",".","115","63","33",".","94","168","50","35","."
"39013","Belmont County, OH","358","345","13",".",".",".","91","36","9",".",".",".","358",".","."
"39017","Butler County, OH","349","209","114","25","1",".","172","93","45",".",".","274","8","67","."
"39023","Clark County, OH","365","199","151","15",".",".","140","80","48",".",".","142","1","222","."
"39025","Clermont County, OH","365","198","150","15","2",".","179","80","49",".",".","108",".","257","."
"39027","Clinton County, OH","214","131","61","19","3",".","161","101","47",".",".","214",".",".","."
"39029","Columbiana County, OH","364","363","1",".",".",".","51","24","8",".",".",".","307",".","57"
"39035","Cuyahoga County, OH","365","89","246","26","4",".","155","97","62","3","3","56","52","241","10"
"39041","Delaware County, OH","214","156","51","7",".",".","126","71","43",".",".","214",".",".","."
"39047","Fayette County, OH","340","280","51","9",".",".","140","67","37",".",".","340",".",".","."
"39049","Franklin County, OH","365","191","160","10","4",".","156","80","49",".",".","115",".","250","."
"39055","Geauga County, OH","213","171","38","4",".",".","129","67","41",".",".","213",".",".","."
"39057","Greene County, OH","354","212","130","12",".",".","136","74","45",".",".","144",".","210","."
"39061","Hamilton County, OH","365","141","180","38","6",".","179","108","57","1","5","129","54","175","1"
"39063","Hancock County, OH","15","15",".",".",".",".","43","39","21",".",".",".",".",".","15"
"39081","Jefferson County, OH","365","175","176","13","1",".","153","84","52",".",".","77","40","248","."
"39083","Knox County, OH","214","166","41","7",".",".","147","67","42",".",".","214",".",".","."
"39085","Lake County, OH","365","177","120","66","2",".","161","112","52",".",".","97","111","157","."
"39087","Lawrence County, OH","365","189","164","12",".",".","126","83","50",".",".","46","1","318","."
"39089","Licking County, OH","214","158","48","8",".",".","140","71","44",".",".","214",".",".","."
"39093","Lorain County, OH","355","251","97","7",".",".","136","66","39",".",".","136",".","219","."
"39095","Lucas County, OH","365","229","129","7",".",".","147","74","44",".",".","104",".","251","10"
"39097","Madison County, OH","213","146","53","14",".",".","143","84","44",".",".","213",".",".","."
"39099","Mahoning County, OH","365","209","149","7",".",".","140","71","46",".",".","73","14","278","."
"39103","Medina County, OH","283","198","82","3",".",".","129","70","43",".",".","171",".","112","."
"39105","Meigs County, OH","348","301","38","9",".",".","120","70","9",".",".",".","348",".","."
"39109","Miami County, OH","214","145","62","7",".",".","126","80","44.5",".",".","214",".",".","."
"39113","Montgomery County, OH","365","188","160","16","1",".","172","87","50","4",".","137",".","224","."
"39115","Morgan County, OH","364","291","38","33","2",".","156","97","11",".",".",".","364",".","."
"39121","Noble County, OH","304","255","49",".",".",".","97","57","40",".",".","256",".","48","."
"39133","Portage County, OH","259","194","62","3",".",".","122","64","37",".",".","164",".","95","."
"39135","Preble County, OH","365","212","148","5",".",".","136","75","46",".",".","150","2","213","."
"39145","Scioto County, OH","365","324","40","1",".",".","105","52","25",".",".",".","72","112","181"
"39151","Stark County, OH","365","169","184","10","2",".","154","79","52",".",".","108",".","257","."
"39153","Summit County, OH","365","221","137","7",".",".","150","72","44","7",".","163","46","149","."
"39155","Trumbull County, OH","362","217","135","10",".",".","140","72","45",".",".","114",".","247","1"
"39157","Tuscarawas County, OH","365","354","11",".",".",".","91","31","13",".",".",".","365",".","."
"39165","Warren County, OH","350","165","167","17","1",".","166","86","51.5",".",".","103",".","247","."
"39167","Washington County, OH","211","158","49","4",".",".","143","74","42",".",".","211",".",".","."
"39173","Wood County, OH","214","166","39","9",".",".","129","77","42",".",".","214",".",".","."
