"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"42001","Adams County, PA","365","272","91","2",".",".","102","63","42","1","9","239",".","116","."
"42003","Allegheny County, PA","365","167","178","19","1",".","155","85","53",".","2","90","34","238","1"
"42005","Armstrong County, PA","364","222","140","2",".",".","119","65","46",".",".","138",".","226","."
"42007","Beaver County, PA","365","221","139","5",".",".","119","69","46",".","2","166","6","191","."
"42011","Berks County, PA","365","212","145","8",".",".","127","74","46",".","2","176",".","187","."
"42013","Blair County, PA","365","225","138","2",".",".","108","64","45",".",".","134","11","219","1"
"42015","Bradford County, PA","365","365",".",".",".",".","50","41","30",".","1","364",".",".","."
"42017","Bucks County, PA","365","206","151","7","1",".","172","72","48","1","7","161",".","196","."
"42021","Cambria County, PA","365","218","145","2",".",".","108","68","45",".","5","113","21","225","1"
"42027","Centre County, PA","365","261","104",".",".",".","90","62","43",".","1","183",".","181","."
"42029","Chester County, PA","363","216","143","4",".",".","129","72","45",".",".","162",".","201","."
"42033","Clearfield County, PA","263","250","13",".",".",".","93","46","32",".",".","263",".",".","."
"42041","Cumberland County, PA","364","221","141","2",".",".","128","67","44",".",".",".",".","364","."
"42043","Dauphin County, PA","365","205","156","4",".",".","123","74","47",".",".","148",".","216","1"
"42045","Delaware County, PA","361","181","176","4",".",".","143","67","50",".","10","112",".","237","2"
"42047","Elk County, PA","364","343","20","1",".",".","115","48","36",".",".","364",".",".","."
"42049","Erie County, PA","359","226","132","1",".",".","101","63","45","1","1","145",".","211","1"
"42055","Franklin County, PA","337","311","26",".",".",".","87","49","38",".",".","337",".",".","."
"42059","Greene County, PA","363","328","33","2",".",".","108","50","39",".",".","360","3",".","."
"42063","Indiana County, PA","365","306","54","5",".",".","119","61","41",".",".","306","59",".","."
"42069","Lackawanna County, PA","365","262","103",".",".",".","100","61","43",".","3","173",".","189","."
"42071","Lancaster County, PA","365","125","225","14","1",".","154","83","56",".",".","67",".","298","."
"42073","Lawrence County, PA","365","331","32","2",".",".","119","50","35",".",".","322","12",".","31"
"42075","Lebanon County, PA","365","193","164","8",".",".","121","76","48",".",".","152",".","213","."
"42077","Lehigh County, PA","365","334","30","1",".",".","112","49","35",".",".","343",".",".","22"
"42079","Luzerne County, PA","365","345","20",".",".",".","87","47","34",".",".","356",".",".","9"
"42081","Lycoming County, PA","365","344","21",".",".",".","93","47","35",".",".","364",".",".","1"
"42085","Mercer County, PA","365","212","149","4",".",".","115","68","48",".",".","136",".","229","."
"42089","Monroe County, PA","364","273","91",".",".",".","77","59","40",".",".","208",".","156","."
"42091","Montgomery County, PA","365","259","100","6",".",".","122","66","42",".",".","210",".","155","."
"42095","Northampton County, PA","365","221","141","3",".",".","118","73","46",".","5","157","2","200","1"
"42099","Perry County, PA","303","285","18",".",".",".","80","48","38",".","4","298","1",".","."
"42101","Philadelphia County, PA","365","132","224","8","1",".","151","77","54",".","3","86",".","276","."
"42111","Somerset County, PA","362","346","16",".",".",".","97","47","36",".",".","362",".",".","."
"42117","Tioga County, PA","362","337","25",".",".",".","74","47","36",".","19","306",".","37","."
"42123","Warren County, PA","365","295","52","17","1",".","156","74","16",".",".",".","365",".","."
"42125","Washington County, PA","365","143","221","1",".",".","101","72","54",".",".","80","3","282","."
"42129","Westmoreland County, PA","365","233","131","1",".",".","105","63","44",".",".","148",".","217","."
"42133","York County, PA","365","232","132","1",".",".","108","68","46",".","7","163","1","194","."
