year,countyfips,county,state,UV,hover
2001,23001,Androscoggin,ME,NA,Androscoggin <br>
2001,23003,Aroostook,ME,NA,Aroostook <br>
2001,23005,Cumberland,ME,NA,Cumberland <br>
2001,23007,Franklin,ME,NA,Franklin <br>
2001,23009,Hancock,ME,NA,Hancock <br>
2001,23011,Kennebec,ME,NA,Kennebec <br>
2001,23013,Knox,ME,NA,Knox <br>
2001,23015,Lincoln,ME,NA,Lincoln <br>
2001,23017,Oxford,ME,NA,Oxford <br>
2001,23019,Penobscot,ME,NA,Penobscot <br>
2001,23021,Piscataquis,ME,NA,Piscataquis <br>
2001,23023,Sagadahoc,ME,NA,Sagadahoc <br>
2001,23025,Somerset,ME,NA,Somerset <br>
2001,23027,Waldo,ME,NA,Waldo <br>
2001,23029,Washington,ME,NA,Washington <br>
2001,23031,York,ME,NA,York <br>
2001,36001,Albany,NY,NA,Albany <br>
2001,36003,Allegany,NY,NA,Allegany <br>
2001,36005,Bronx,NY,NA,Bronx <br>
2001,36007,Broome,NY,NA,Broome <br>
2001,36009,Cattaraugus,NY,NA,Cattaraugus <br>
2001,36011,Cayuga,NY,NA,Cayuga <br>
2001,36013,Chautauqua,NY,NA,Chautauqua <br>
2001,36015,Chemung,NY,NA,Chemung <br>
2001,36017,Chenango,NY,NA,Chenango <br>
2001,36019,Clinton,NY,NA,Clinton <br>
2001,36021,Columbia,NY,NA,Columbia <br>
2001,36023,Cortland,NY,NA,Cortland <br>
2001,36025,Delaware,NY,NA,Delaware <br>
2001,36027,Dutchess,NY,NA,Dutchess <br>
2001,36029,Erie,NY,NA,Erie <br>
2001,36031,Essex,NY,NA,Essex <br>
2001,36033,Franklin,NY,NA,Franklin <br>
2001,36035,Fulton,NY,NA,Fulton <br>
2001,36037,Genesee,NY,NA,Genesee <br>
2001,36039,Greene,NY,NA,Greene <br>
2001,36041,Hamilton,NY,NA,Hamilton <br>
2001,36043,Herkimer,NY,NA,Herkimer <br>
2001,36045,Jefferson,NY,NA,Jefferson <br>
2001,36047,Kings,NY,NA,Kings <br>
2001,36049,Lewis,NY,NA,Lewis <br>
2001,36051,Livingston,NY,NA,Livingston <br>
2001,36053,Madison,NY,NA,Madison <br>
2001,36055,Monroe,NY,NA,Monroe <br>
2001,36057,Montgomery,NY,NA,Montgomery <br>
2001,36059,Nassau,NY,NA,Nassau <br>
2001,36061,New York,NY,NA,New York <br>
2001,36063,Niagara,NY,NA,Niagara <br>
2001,36065,Oneida,NY,NA,Oneida <br>
2001,36067,Onondaga,NY,NA,Onondaga <br>
2001,36069,Ontario,NY,NA,Ontario <br>
2001,36071,Orange,NY,NA,Orange <br>
2001,36073,Orleans,NY,NA,Orleans <br>
2001,36075,Oswego,NY,NA,Oswego <br>
2001,36077,Otsego,NY,NA,Otsego <br>
2001,36079,Putnam,NY,NA,Putnam <br>
2001,36081,Queens,NY,NA,Queens <br>
2001,36083,Rensselaer,NY,NA,Rensselaer <br>
2001,36085,Richmond,NY,NA,Richmond <br>
2001,36087,Rockland,NY,NA,Rockland <br>
2001,36089,St Lawrence,NY,NA,St Lawrence <br>
2001,36091,Saratoga,NY,NA,Saratoga <br>
2001,36093,Schenectady,NY,NA,Schenectady <br>
2001,36095,Schoharie,NY,NA,Schoharie <br>
2001,36097,Schuyler,NY,NA,Schuyler <br>
2001,36099,Seneca,NY,NA,Seneca <br>
2001,36101,Steuben,NY,NA,Steuben <br>
2001,36103,Suffolk,NY,NA,Suffolk <br>
2001,36105,Sullivan,NY,NA,Sullivan <br>
2001,36107,Tioga,NY,NA,Tioga <br>
2001,36109,Tompkins,NY,NA,Tompkins <br>
2001,36111,Ulster,NY,NA,Ulster <br>
2001,36113,Warren,NY,NA,Warren <br>
2001,36115,Washington,NY,NA,Washington <br>
2001,36117,Wayne,NY,NA,Wayne <br>
2001,36119,Westchester,NY,NA,Westchester <br>
2001,36121,Wyoming,NY,NA,Wyoming <br>
2001,36123,Yates,NY,NA,Yates <br>
2001,39001,Adams,OH,NA,Adams <br>
2001,39003,Allen,OH,NA,Allen <br>
2001,39005,Ashland,OH,NA,Ashland <br>
2001,39007,Ashtabula,OH,NA,Ashtabula <br>
2001,39009,Athens,OH,NA,Athens <br>
2001,39011,Auglaize,OH,NA,Auglaize <br>
2001,39013,Belmont,OH,NA,Belmont <br>
2001,39015,Brown,OH,NA,Brown <br>
2001,39017,Butler,OH,NA,Butler <br>
2001,39019,Carroll,OH,NA,Carroll <br>
2001,39021,Champaign,OH,NA,Champaign <br>
2001,39023,Clark,OH,NA,Clark <br>
2001,39025,Clermont,OH,NA,Clermont <br>
2001,39027,Clinton,OH,NA,Clinton <br>
2001,39029,Columbiana,OH,NA,Columbiana <br>
2001,39031,Coshocton,OH,NA,Coshocton <br>
2001,39033,Crawford,OH,NA,Crawford <br>
2001,39035,Cuyahoga,OH,NA,Cuyahoga <br>
2001,39037,Darke,OH,NA,Darke <br>
2001,39039,Defiance,OH,NA,Defiance <br>
2001,39041,Delaware,OH,NA,Delaware <br>
2001,39043,Erie,OH,NA,Erie <br>
2001,39045,Fairfield,OH,NA,Fairfield <br>
2001,39047,Fayette,OH,NA,Fayette <br>
2001,39049,Franklin,OH,NA,Franklin <br>
2001,39051,Fulton,OH,NA,Fulton <br>
2001,39053,Gallia,OH,NA,Gallia <br>
2001,39055,Geauga,OH,NA,Geauga <br>
2001,39057,Greene,OH,NA,Greene <br>
2001,39059,Guernsey,OH,NA,Guernsey <br>
2001,39061,Hamilton,OH,NA,Hamilton <br>
2001,39063,Hancock,OH,NA,Hancock <br>
2001,39065,Hardin,OH,NA,Hardin <br>
2001,39067,Harrison,OH,NA,Harrison <br>
2001,39069,Henry,OH,NA,Henry <br>
2001,39071,Highland,OH,NA,Highland <br>
2001,39073,Hocking,OH,NA,Hocking <br>
2001,39075,Holmes,OH,NA,Holmes <br>
2001,39077,Huron,OH,NA,Huron <br>
2001,39079,Jackson,OH,NA,Jackson <br>
2001,39081,Jefferson,OH,NA,Jefferson <br>
2001,39083,Knox,OH,NA,Knox <br>
2001,39085,Lake,OH,NA,Lake <br>
2001,39087,Lawrence,OH,NA,Lawrence <br>
2001,39089,Licking,OH,NA,Licking <br>
2001,39091,Logan,OH,NA,Logan <br>
2001,39093,Lorain,OH,NA,Lorain <br>
2001,39095,Lucas,OH,NA,Lucas <br>
2001,39097,Madison,OH,NA,Madison <br>
2001,39099,Mahoning,OH,NA,Mahoning <br>
2001,39101,Marion,OH,NA,Marion <br>
2001,39103,Medina,OH,NA,Medina <br>
2001,39105,Meigs,OH,NA,Meigs <br>
2001,39107,Mercer,OH,NA,Mercer <br>
2001,39109,Miami,OH,NA,Miami <br>
2001,39111,Monroe,OH,NA,Monroe <br>
2001,39113,Montgomery,OH,NA,Montgomery <br>
2001,39115,Morgan,OH,NA,Morgan <br>
2001,39117,Morrow,OH,NA,Morrow <br>
2001,39119,Muskingum,OH,NA,Muskingum <br>
2001,39121,Noble,OH,NA,Noble <br>
2001,39123,Ottawa,OH,NA,Ottawa <br>
2001,39125,Paulding,OH,NA,Paulding <br>
2001,39127,Perry,OH,NA,Perry <br>
2001,39129,Pickaway,OH,NA,Pickaway <br>
2001,39131,Pike,OH,NA,Pike <br>
2001,39133,Portage,OH,NA,Portage <br>
2001,39135,Preble,OH,NA,Preble <br>
2001,39137,Putnam,OH,NA,Putnam <br>
2001,39139,Richland,OH,NA,Richland <br>
2001,39141,Ross,OH,NA,Ross <br>
2001,39143,Sandusky,OH,NA,Sandusky <br>
2001,39145,Scioto,OH,NA,Scioto <br>
2001,39147,Seneca,OH,NA,Seneca <br>
2001,39149,Shelby,OH,NA,Shelby <br>
2001,39151,Stark,OH,NA,Stark <br>
2001,39153,Summit,OH,NA,Summit <br>
2001,39155,Trumbull,OH,NA,Trumbull <br>
2001,39157,Tuscarawas,OH,NA,Tuscarawas <br>
2001,39159,Union,OH,NA,Union <br>
2001,39161,Van Wert,OH,NA,Van Wert <br>
2001,39163,Vinton,OH,NA,Vinton <br>
2001,39165,Warren,OH,NA,Warren <br>
2001,39167,Washington,OH,NA,Washington <br>
2001,39169,Wayne,OH,NA,Wayne <br>
2001,39171,Williams,OH,NA,Williams <br>
2001,39173,Wood,OH,NA,Wood <br>
2001,39175,Wyandot,OH,NA,Wyandot <br>
2001,42001,Adams,PA,NA,Adams <br>
2001,42003,Allegheny,PA,NA,Allegheny <br>
2001,42005,Armstrong,PA,NA,Armstrong <br>
2001,42007,Beaver,PA,NA,Beaver <br>
2001,42009,Bedford,PA,NA,Bedford <br>
2001,42011,Berks,PA,NA,Berks <br>
2001,42013,Blair,PA,NA,Blair <br>
2001,42015,Bradford,PA,NA,Bradford <br>
2001,42017,Bucks,PA,NA,Bucks <br>
2001,42019,Butler,PA,NA,Butler <br>
2001,42021,Cambria,PA,NA,Cambria <br>
2001,42023,Cameron,PA,NA,Cameron <br>
2001,42025,Carbon,PA,NA,Carbon <br>
2001,42027,Centre,PA,NA,Centre <br>
2001,42029,Chester,PA,NA,Chester <br>
2001,42031,Clarion,PA,NA,Clarion <br>
2001,42033,Clearfield,PA,NA,Clearfield <br>
2001,42035,Clinton,PA,NA,Clinton <br>
2001,42037,Columbia,PA,NA,Columbia <br>
2001,42039,Crawford,PA,NA,Crawford <br>
2001,42041,Cumberland,PA,NA,Cumberland <br>
2001,42043,Dauphin,PA,NA,Dauphin <br>
2001,42045,Delaware,PA,NA,Delaware <br>
2001,42047,Elk,PA,NA,Elk <br>
2001,42049,Erie,PA,NA,Erie <br>
2001,42051,Fayette,PA,NA,Fayette <br>
2001,42053,Forest,PA,NA,Forest <br>
2001,42055,Franklin,PA,NA,Franklin <br>
2001,42057,Fulton,PA,NA,Fulton <br>
2001,42059,Greene,PA,NA,Greene <br>
2001,42061,Huntingdon,PA,NA,Huntingdon <br>
2001,42063,Indiana,PA,NA,Indiana <br>
2001,42065,Jefferson,PA,NA,Jefferson <br>
2001,42067,Juniata,PA,NA,Juniata <br>
2001,42069,Lackawanna,PA,NA,Lackawanna <br>
2001,42071,Lancaster,PA,NA,Lancaster <br>
2001,42073,Lawrence,PA,NA,Lawrence <br>
2001,42075,Lebanon,PA,NA,Lebanon <br>
2001,42077,Lehigh,PA,NA,Lehigh <br>
2001,42079,Luzerne,PA,NA,Luzerne <br>
2001,42081,Lycoming,PA,NA,Lycoming <br>
2001,42083,McKean,PA,NA,McKean <br>
2001,42085,Mercer,PA,NA,Mercer <br>
2001,42087,Mifflin,PA,NA,Mifflin <br>
2001,42089,Monroe,PA,NA,Monroe <br>
2001,42091,Montgomery,PA,NA,Montgomery <br>
2001,42093,Montour,PA,NA,Montour <br>
2001,42095,Northampton,PA,NA,Northampton <br>
2001,42097,Northumberland,PA,NA,Northumberland <br>
2001,42099,Perry,PA,NA,Perry <br>
2001,42101,Philadelphia,PA,NA,Philadelphia <br>
2001,42103,Pike,PA,NA,Pike <br>
2001,42105,Potter,PA,NA,Potter <br>
2001,42107,Schuylkill,PA,NA,Schuylkill <br>
2001,42109,Snyder,PA,NA,Snyder <br>
2001,42111,Somerset,PA,NA,Somerset <br>
2001,42113,Sullivan,PA,NA,Sullivan <br>
2001,42115,Susquehanna,PA,NA,Susquehanna <br>
2001,42117,Tioga,PA,NA,Tioga <br>
2001,42119,Union,PA,NA,Union <br>
2001,42121,Venango,PA,NA,Venango <br>
2001,42123,Warren,PA,NA,Warren <br>
2001,42125,Washington,PA,NA,Washington <br>
2001,42127,Wayne,PA,NA,Wayne <br>
2001,42129,Westmoreland,PA,NA,Westmoreland <br>
2001,42131,Wyoming,PA,NA,Wyoming <br>
2001,42133,York,PA,NA,York <br>
2002,23001,Androscoggin,ME,NA,Androscoggin <br>
2002,23003,Aroostook,ME,NA,Aroostook <br>
2002,23005,Cumberland,ME,NA,Cumberland <br>
2002,23007,Franklin,ME,NA,Franklin <br>
2002,23009,Hancock,ME,NA,Hancock <br>
2002,23011,Kennebec,ME,NA,Kennebec <br>
2002,23013,Knox,ME,NA,Knox <br>
2002,23015,Lincoln,ME,NA,Lincoln <br>
2002,23017,Oxford,ME,NA,Oxford <br>
2002,23019,Penobscot,ME,NA,Penobscot <br>
2002,23021,Piscataquis,ME,NA,Piscataquis <br>
2002,23023,Sagadahoc,ME,NA,Sagadahoc <br>
2002,23025,Somerset,ME,NA,Somerset <br>
2002,23027,Waldo,ME,NA,Waldo <br>
