year,countyfips,county,state,O3,hover
2001,23001,Androscoggin,ME,37.21,Androscoggin <br> Average Daily Max 38.85 <br> Average Daily Median 37.16 <br>
2001,23003,Aroostook,ME,33.55,Aroostook <br> Average Daily Max 35.7 <br> Average Daily Median 33.44 <br>
2001,23005,Cumberland,ME,38.51,Cumberland <br> Average Daily Max 41.77 <br> Average Daily Median 38.75 <br>
2001,23007,Franklin,ME,37.27,Franklin <br> Average Daily Max 39.29 <br> Average Daily Median 37.34 <br>
2001,23009,Hancock,ME,39.77,Hancock <br> Average Daily Max 42.37 <br> Average Daily Median 39.73 <br>
2001,23011,Kennebec,ME,37.17,Kennebec <br> Average Daily Max 38.7 <br> Average Daily Median 37.17 <br>
2001,23013,Knox,ME,39.34,Knox <br> Average Daily Max 41.4 <br> Average Daily Median 39.5 <br>
2001,23015,Lincoln,ME,38.9,Lincoln <br> Average Daily Max 40.63 <br> Average Daily Median 38.93 <br>
2001,23017,Oxford,ME,37.48,Oxford <br> Average Daily Max 40.02 <br> Average Daily Median 37.41 <br>
2001,23019,Penobscot,ME,37.4,Penobscot <br> Average Daily Max 39.91 <br> Average Daily Median 37.5 <br>
2001,23021,Piscataquis,ME,36.18,Piscataquis <br> Average Daily Max 38.28 <br> Average Daily Median 36.27 <br>
2001,23023,Sagadahoc,ME,38.62,Sagadahoc <br> Average Daily Max 40.22 <br> Average Daily Median 38.61 <br>
2001,23025,Somerset,ME,36.57,Somerset <br> Average Daily Max 39 <br> Average Daily Median 36.55 <br>
2001,23027,Waldo,ME,38.28,Waldo <br> Average Daily Max 39.83 <br> Average Daily Median 38.22 <br>
2001,23029,Washington,ME,38.82,Washington <br> Average Daily Max 41.06 <br> Average Daily Median 38.54 <br>
2001,23031,York,ME,38.62,York <br> Average Daily Max 41.6 <br> Average Daily Median 38.66 <br>
2001,36001,Albany,NY,38.33,Albany <br> Average Daily Max 42.36 <br> Average Daily Median 38.17 <br>
2001,36003,Allegany,NY,42.39,Allegany <br> Average Daily Max 43.53 <br> Average Daily Median 42.4 <br>
2001,36005,Bronx,NY,31.69,Bronx <br> Average Daily Max 34.57 <br> Average Daily Median 31.61 <br>
2001,36007,Broome,NY,41.3,Broome <br> Average Daily Max 42.95 <br> Average Daily Median 41.26 <br>
2001,36009,Cattaraugus,NY,42.41,Cattaraugus <br> Average Daily Max 44.14 <br> Average Daily Median 42.4 <br>
2001,36011,Cayuga,NY,39.97,Cayuga <br> Average Daily Max 42.14 <br> Average Daily Median 39.86 <br>
2001,36013,Chautauqua,NY,42.51,Chautauqua <br> Average Daily Max 44.63 <br> Average Daily Median 42.37 <br>
2001,36015,Chemung,NY,41.44,Chemung <br> Average Daily Max 42.09 <br> Average Daily Median 41.46 <br>
2001,36017,Chenango,NY,41.74,Chenango <br> Average Daily Max 42.97 <br> Average Daily Median 41.78 <br>
2001,36019,Clinton,NY,39.53,Clinton <br> Average Daily Max 42.17 <br> Average Daily Median 39.22 <br>
2001,36021,Columbia,NY,40.72,Columbia <br> Average Daily Max 42.91 <br> Average Daily Median 40.75 <br>
2001,36023,Cortland,NY,41.5,Cortland <br> Average Daily Max 42.42 <br> Average Daily Median 41.48 <br>
2001,36025,Delaware,NY,42.57,Delaware <br> Average Daily Max 44.27 <br> Average Daily Median 42.61 <br>
2001,36027,Dutchess,NY,40.59,Dutchess <br> Average Daily Max 43.18 <br> Average Daily Median 40.54 <br>
2001,36029,Erie,NY,40.9,Erie <br> Average Daily Max 44.62 <br> Average Daily Median 40.75 <br>
2001,36031,Essex,NY,41.71,Essex <br> Average Daily Max 44.44 <br> Average Daily Median 41.4 <br>
2001,36033,Franklin,NY,40.99,Franklin <br> Average Daily Max 43.72 <br> Average Daily Median 41.22 <br>
2001,36035,Fulton,NY,40.21,Fulton <br> Average Daily Max 41.59 <br> Average Daily Median 40.18 <br>
2001,36037,Genesee,NY,40.77,Genesee <br> Average Daily Max 42.14 <br> Average Daily Median 40.84 <br>
2001,36039,Greene,NY,41.06,Greene <br> Average Daily Max 43.76 <br> Average Daily Median 40.99 <br>
2001,36041,Hamilton,NY,42,Hamilton <br> Average Daily Max 43.29 <br> Average Daily Median 42.04 <br>
2001,36043,Herkimer,NY,40.42,Herkimer <br> Average Daily Max 42.96 <br> Average Daily Median 40.33 <br>
2001,36045,Jefferson,NY,42.38,Jefferson <br> Average Daily Max 44.7 <br> Average Daily Median 42.53 <br>
2001,36047,Kings,NY,32.39,Kings <br> Average Daily Max 36.04 <br> Average Daily Median 32.42 <br>
2001,36049,Lewis,NY,41.59,Lewis <br> Average Daily Max 42.93 <br> Average Daily Median 41.53 <br>
2001,36051,Livingston,NY,40.72,Livingston <br> Average Daily Max 42.4 <br> Average Daily Median 40.7 <br>
2001,36053,Madison,NY,40.76,Madison <br> Average Daily Max 42.77 <br> Average Daily Median 40.65 <br>
2001,36055,Monroe,NY,38.13,Monroe <br> Average Daily Max 41.21 <br> Average Daily Median 37.78 <br>
2001,36057,Montgomery,NY,39.82,Montgomery <br> Average Daily Max 41.19 <br> Average Daily Median 39.52 <br>
2001,36059,Nassau,NY,36.45,Nassau <br> Average Daily Max 41.55 <br> Average Daily Median 36.58 <br>
2001,36061,New York,NY,30.98,New York <br> Average Daily Max 34.56 <br> Average Daily Median 30.75 <br>
2001,36063,Niagara,NY,40.71,Niagara <br> Average Daily Max 43.06 <br> Average Daily Median 40.66 <br>
2001,36065,Oneida,NY,39.96,Oneida <br> Average Daily Max 42.77 <br> Average Daily Median 39.85 <br>
2001,36067,Onondaga,NY,39.31,Onondaga <br> Average Daily Max 42.2 <br> Average Daily Median 39.23 <br>
2001,36069,Ontario,NY,39.66,Ontario <br> Average Daily Max 41.78 <br> Average Daily Median 39.72 <br>
2001,36071,Orange,NY,41.51,Orange <br> Average Daily Max 44.27 <br> Average Daily Median 41.47 <br>
2001,36073,Orleans,NY,40.54,Orleans <br> Average Daily Max 41.78 <br> Average Daily Median 40.61 <br>
2001,36075,Oswego,NY,40.37,Oswego <br> Average Daily Max 43.05 <br> Average Daily Median 40.29 <br>
2001,36077,Otsego,NY,41.81,Otsego <br> Average Daily Max 42.97 <br> Average Daily Median 41.94 <br>
2001,36079,Putnam,NY,40.6,Putnam <br> Average Daily Max 42.03 <br> Average Daily Median 40.61 <br>
2001,36081,Queens,NY,31.48,Queens <br> Average Daily Max 37.95 <br> Average Daily Median 31.26 <br>
2001,36083,Rensselaer,NY,39.33,Rensselaer <br> Average Daily Max 43.12 <br> Average Daily Median 38.97 <br>
2001,36085,Richmond,NY,37,Richmond <br> Average Daily Max 40.01 <br> Average Daily Median 36.66 <br>
2001,36087,Rockland,NY,40.83,Rockland <br> Average Daily Max 43.12 <br> Average Daily Median 40.96 <br>
2001,36089,St Lawrence,NY,39.98,St Lawrence <br> Average Daily Max 43.34 <br> Average Daily Median 39.91 <br>
2001,36091,Saratoga,NY,39.19,Saratoga <br> Average Daily Max 42.47 <br> Average Daily Median 39.31 <br>
2001,36093,Schenectady,NY,37.93,Schenectady <br> Average Daily Max 40.12 <br> Average Daily Median 37.79 <br>
2001,36095,Schoharie,NY,41.35,Schoharie <br> Average Daily Max 42.71 <br> Average Daily Median 41.35 <br>
2001,36097,Schuyler,NY,41.15,Schuyler <br> Average Daily Max 41.71 <br> Average Daily Median 41.16 <br>
2001,36099,Seneca,NY,39.76,Seneca <br> Average Daily Max 41.1 <br> Average Daily Median 39.56 <br>
2001,36101,Steuben,NY,41.69,Steuben <br> Average Daily Max 43.31 <br> Average Daily Median 41.62 <br>
2001,36103,Suffolk,NY,40,Suffolk <br> Average Daily Max 46.63 <br> Average Daily Median 39.95 <br>
2001,36105,Sullivan,NY,42.58,Sullivan <br> Average Daily Max 44.45 <br> Average Daily Median 42.63 <br>
2001,36107,Tioga,NY,41.48,Tioga <br> Average Daily Max 42.41 <br> Average Daily Median 41.5 <br>
2001,36109,Tompkins,NY,41.15,Tompkins <br> Average Daily Max 42.03 <br> Average Daily Median 41.13 <br>
2001,36111,Ulster,NY,41.24,Ulster <br> Average Daily Max 44.84 <br> Average Daily Median 41.05 <br>
2001,36113,Warren,NY,40.06,Warren <br> Average Daily Max 42.46 <br> Average Daily Median 39.89 <br>
2001,36115,Washington,NY,40.19,Washington <br> Average Daily Max 42.46 <br> Average Daily Median 40.2 <br>
2001,36117,Wayne,NY,39.2,Wayne <br> Average Daily Max 41.2 <br> Average Daily Median 39.18 <br>
2001,36119,Westchester,NY,37.52,Westchester <br> Average Daily Max 42.94 <br> Average Daily Median 36.98 <br>
2001,36121,Wyoming,NY,41.9,Wyoming <br> Average Daily Max 43.28 <br> Average Daily Median 41.93 <br>
2001,36123,Yates,NY,40.75,Yates <br> Average Daily Max 41.37 <br> Average Daily Median 40.81 <br>
2001,39001,Adams,OH,42.81,Adams <br> Average Daily Max 44.12 <br> Average Daily Median 42.73 <br>
2001,39003,Allen,OH,40.57,Allen <br> Average Daily Max 41.76 <br> Average Daily Median 40.52 <br>
2001,39005,Ashland,OH,42.39,Ashland <br> Average Daily Max 43.5 <br> Average Daily Median 42.37 <br>
2001,39007,Ashtabula,OH,41.74,Ashtabula <br> Average Daily Max 43.63 <br> Average Daily Median 41.72 <br>
2001,39009,Athens,OH,42.99,Athens <br> Average Daily Max 44.22 <br> Average Daily Median 42.98 <br>
2001,39011,Auglaize,OH,41.19,Auglaize <br> Average Daily Max 42.29 <br> Average Daily Median 41.18 <br>
2001,39013,Belmont,OH,43.16,Belmont <br> Average Daily Max 44.45 <br> Average Daily Median 43.06 <br>
2001,39015,Brown,OH,42.59,Brown <br> Average Daily Max 44.4 <br> Average Daily Median 42.59 <br>
2001,39017,Butler,OH,40.79,Butler <br> Average Daily Max 43.38 <br> Average Daily Median 40.78 <br>
2001,39019,Carroll,OH,42.5,Carroll <br> Average Daily Max 43.46 <br> Average Daily Median 42.55 <br>
2001,39021,Champaign,OH,42.54,Champaign <br> Average Daily Max 43.52 <br> Average Daily Median 42.58 <br>
2001,39023,Clark,OH,42.45,Clark <br> Average Daily Max 44.03 <br> Average Daily Median 42.52 <br>
2001,39025,Clermont,OH,41.26,Clermont <br> Average Daily Max 43.87 <br> Average Daily Median 41.14 <br>
2001,39027,Clinton,OH,43.97,Clinton <br> Average Daily Max 44.99 <br> Average Daily Median 44.04 <br>
2001,39029,Columbiana,OH,41.37,Columbiana <br> Average Daily Max 43.26 <br> Average Daily Median 41.37 <br>
2001,39031,Coshocton,OH,42.52,Coshocton <br> Average Daily Max 43.46 <br> Average Daily Median 42.46 <br>
2001,39033,Crawford,OH,42.28,Crawford <br> Average Daily Max 43.09 <br> Average Daily Median 42.26 <br>
2001,39035,Cuyahoga,OH,37.44,Cuyahoga <br> Average Daily Max 41.2 <br> Average Daily Median 37.11 <br>
2001,39037,Darke,OH,41.71,Darke <br> Average Daily Max 42.79 <br> Average Daily Median 41.72 <br>
2001,39039,Defiance,OH,39.92,Defiance <br> Average Daily Max 40.77 <br> Average Daily Median 39.94 <br>
2001,39041,Delaware,OH,41.5,Delaware <br> Average Daily Max 43.48 <br> Average Daily Median 41.5 <br>
2001,39043,Erie,OH,40.88,Erie <br> Average Daily Max 42.68 <br> Average Daily Median 40.9 <br>
2001,39045,Fairfield,OH,42.52,Fairfield <br> Average Daily Max 44.03 <br> Average Daily Median 42.78 <br>
2001,39047,Fayette,OH,43.7,Fayette <br> Average Daily Max 44.41 <br> Average Daily Median 43.71 <br>
2001,39049,Franklin,OH,40.51,Franklin <br> Average Daily Max 43.49 <br> Average Daily Median 40.26 <br>
2001,39051,Fulton,OH,39.46,Fulton <br> Average Daily Max 40.33 <br> Average Daily Median 39.46 <br>
2001,39053,Gallia,OH,42.87,Gallia <br> Average Daily Max 44.1 <br> Average Daily Median 42.85 <br>
2001,39055,Geauga,OH,40.84,Geauga <br> Average Daily Max 42.75 <br> Average Daily Median 41.01 <br>
2001,39057,Greene,OH,42.36,Greene <br> Average Daily Max 44.47 <br> Average Daily Median 42.27 <br>
2001,39059,Guernsey,OH,42.72,Guernsey <br> Average Daily Max 43.67 <br> Average Daily Median 42.66 <br>
2001,39061,Hamilton,OH,39.4,Hamilton <br> Average Daily Max 42.86 <br> Average Daily Median 39.2 <br>
2001,39063,Hancock,OH,40.91,Hancock <br> Average Daily Max 41.88 <br> Average Daily Median 40.9 <br>
2001,39065,Hardin,OH,41.76,Hardin <br> Average Daily Max 42.59 <br> Average Daily Median 41.86 <br>
2001,39067,Harrison,OH,43.17,Harrison <br> Average Daily Max 43.94 <br> Average Daily Median 43.18 <br>
2001,39069,Henry,OH,39.88,Henry <br> Average Daily Max 40.74 <br> Average Daily Median 39.83 <br>
2001,39071,Highland,OH,43.91,Highland <br> Average Daily Max 44.92 <br> Average Daily Median 43.94 <br>
2001,39073,Hocking,OH,43.15,Hocking <br> Average Daily Max 44.05 <br> Average Daily Median 43.12 <br>
2001,39075,Holmes,OH,42.75,Holmes <br> Average Daily Max 43.68 <br> Average Daily Median 42.76 <br>
2001,39077,Huron,OH,41.49,Huron <br> Average Daily Max 42.9 <br> Average Daily Median 41.44 <br>
2001,39079,Jackson,OH,43.42,Jackson <br> Average Daily Max 44.19 <br> Average Daily Median 43.43 <br>
2001,39081,Jefferson,OH,42.11,Jefferson <br> Average Daily Max 43.94 <br> Average Daily Median 41.94 <br>
2001,39083,Knox,OH,43.17,Knox <br> Average Daily Max 44.15 <br> Average Daily Median 43.19 <br>
2001,39085,Lake,OH,39.9,Lake <br> Average Daily Max 42.16 <br> Average Daily Median 39.9 <br>
2001,39087,Lawrence,OH,42.16,Lawrence <br> Average Daily Max 44.42 <br> Average Daily Median 42.33 <br>
