"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"23001","Androscoggin County, ME","182","162","16","4",".",".","143","51","31",".",".","145",".",".","37"
"23003","Aroostook County, ME","366","333","32","1",".",".","112","50","33",".",".","280","49","13","24"
"23005","Cumberland County, ME","366","333","30","3",".",".","126","50","34.5",".","95","222","17","25","7"
"23007","Franklin County, ME","61","61",".",".",".",".","31","19","11",".",".",".",".",".","61"
"23009","Hancock County, ME","366","321","32","13",".",".","147","54","36",".",".","361",".","5","."
"23011","Kennebec County, ME","209","189","16","4",".",".","147","50","30",".",".","180",".",".","29"
"23013","Knox County, ME","181","159","18","4",".",".","115","58","36",".",".","181",".",".","."
"23017","Oxford County, ME","366","361","5",".",".",".","93","42","19.5",".",".","183","176",".","7"
"23019","Penobscot County, ME","364","338","24","2",".",".","119","47","33",".",".","333",".","30","1"
"23023","Sagadahoc County, ME","183","144","32","6","1",".","169","80","39",".",".","183",".",".","."
"23029","Washington County, ME","239","231","8",".",".",".","84","41","27",".",".","163",".","76","."
"23031","York County, ME","268","223","36","8","1",".","187","64","36",".","85","183",".",".","."
"23901","MOBILE MONITORS, ME","127","113","11","3",".",".","133","58","36",".",".","127",".",".","."
