"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"23001","Androscoggin County, ME","361","336","25",".",".",".","84","47","31",".",".","185",".","174","2"
"23003","Aroostook County, ME","365","316","47",".","2",".","195","55","37",".",".","206",".","159","."
"23005","Cumberland County, ME","365","318","47",".",".",".","100","54","37",".","12","236",".","115","2"
"23009","Hancock County, ME","365","339","25","1",".",".","122","49","37",".",".","355",".","10","."
"23011","Kennebec County, ME","360","344","16",".",".",".","90","45.5","29.5",".","114","216","1","26","3"
"23013","Knox County, ME","219","209","9","1",".",".","112","45","36",".",".","219",".",".","."
"23017","Oxford County, ME","354","310","44",".",".",".","97","53","34",".",".","173",".","181","."
"23019","Penobscot County, ME","365","337","28",".",".",".","97","49","32",".",".","193",".","169","3"
"23029","Washington County, ME","339","327","11","1",".",".","122","46","36",".",".","327",".","12","."
"23031","York County, ME","227","207","18","2",".",".","119","49","40",".",".","227",".",".","."
