"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"36001","Albany County, NY","365","322","43",".",".",".","92","53","37",".",".","233",".","132","."
"36005","Bronx County, NY","365","280","82","3",".",".","115","63","40",".","59","159",".","147","."
"36013","Chautauqua County, NY","365","337","27","1",".",".","105","49","37",".",".","317","22","26","."
"36027","Dutchess County, NY","365","353","12",".",".",".","90","45","33",".",".","331","34",".","."
"36029","Erie County, NY","365","310","55",".",".",".","93","54","38",".","24","216",".","125","."
"36031","Essex County, NY","365","332","33",".",".",".","80","50","42",".",".","362","1","2","."
"36033","Franklin County, NY","356","356",".",".",".",".","1","0","0",".",".",".","356",".","."
"36041","Hamilton County, NY","360","358","2",".",".",".","54","44","34",".",".","323","37",".","."
"36043","Herkimer County, NY","222","222",".",".",".",".","45","36","27",".",".","185","37",".","."
"36045","Jefferson County, NY","205","198","7",".",".",".","64","46","35",".",".","205",".",".","."
"36047","Kings County, NY","365","335","30",".",".",".","75","46","27",".",".",".",".","365","."
"36055","Monroe County, NY","365","321","44",".",".",".","90","52","36",".","3","227",".","135","."
"36059","Nassau County, NY","363","344","19",".",".",".","68","42","22",".",".",".","14","349","."
"36061","New York County, NY","365","293","70","2",".",".","136","58","39",".",".","181",".","184","."
"36063","Niagara County, NY","352","339","13",".",".",".","80","44","34.5",".",".","352",".",".","."
"36065","Oneida County, NY","355","345","10",".",".",".","60","35","18",".",".",".",".","355","."
"36067","Onondaga County, NY","365","337","28",".",".",".","77","49","37",".",".","280",".","85","."
"36071","Orange County, NY","365","343","22",".",".",".","74","47","36",".",".","268",".","97","."
"36075","Oswego County, NY","321","316","5",".",".",".","67","45","34",".",".","321",".",".","."
"36079","Putnam County, NY","364","348","15","1",".",".","101","46","34",".",".","329","35",".","."
"36081","Queens County, NY","365","292","69","4",".",".","119","58","40",".","74","188",".","103","."
"36085","Richmond County, NY","365","314","51",".",".",".","97","55","37",".",".","224",".","141","."
"36087","Rockland County, NY","365","335","29","1",".",".","112","49","36",".",".","295",".","70","."
"36089","St. Lawrence County, NY","365","279","76","10",".",".","105","80","17",".",".",".","365",".","."
"36091","Saratoga County, NY","331","328","3",".",".",".","58","44","33",".",".","331",".",".","."
"36099","Seneca County, NY","360","360",".",".",".",".","6","1","0",".",".",".","360",".","."
"36101","Steuben County, NY","365","349","16",".",".",".","65","47","35",".",".","289",".","76","."
"36103","Suffolk County, NY","365","300","56","9",".",".","150","61","40",".",".","290","1","74","."
"36109","Tompkins County, NY","365","358","7",".",".",".","61","45","34",".",".","353","12",".","."
"36117","Wayne County, NY","268","253","15",".",".",".","90","47","35",".",".","268",".",".","."
"36119","Westchester County, NY","365","330","34","1",".",".","105","50","36",".",".","287",".","78","."
