"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"39001","Adams County, OH","355","313","33","9",".",".","140","54","17",".",".",".","355",".","."
"39003","Allen County, OH","358","265","70","21","2",".","159","87","33",".",".","209","127",".","22"
"39007","Ashtabula County, OH","362","279","53","23","7",".","197","90","34",".",".","207","155",".","."
"39009","Athens County, OH","61","31","26","3","1",".","194","90","50",".",".",".",".","61","."
"39013","Belmont County, OH","354","243","63","44","4",".","200","105","31",".",".",".","354",".","."
"39017","Butler County, OH","365","167","145","45","7","1","201","112","52",".",".","176","113","75","1"
"39023","Clark County, OH","365","218","117","25","5",".","177","93","45",".",".","181","110","74","."
"39025","Clermont County, OH","344","185","122","35","2",".","159","101","49",".",".","162","114","68","."
"39027","Clinton County, OH","214","113","65","33","3",".","179","119","49",".",".","214",".",".","."
"39029","Columbiana County, OH","357","266","69","22",".",".","149","85","24",".",".",".","315",".","42"
"39033","Crawford County, OH","342","266","53","23",".",".","147","80","36",".",".","342",".",".","."
"39035","Cuyahoga County, OH","365","145","176","40","4",".","182","105","59","2","38","90","104","100","31"
"39041","Delaware County, OH","214","119","71","23","1",".","172","108","47",".",".","214",".",".","."
"39047","Fayette County, OH","353","261","64","26","2",".","156","93","38",".",".","353",".",".","."
"39049","Franklin County, OH","365","200","122","36","6","1","201","105","47","10",".","170","37","80","68"
"39053","Gallia County, OH","345","293","41","10","1",".","154","64","23",".",".",".","345",".","."
"39055","Geauga County, OH","206","107","63","30","6",".","164","115","49",".",".","206",".",".","."
"39057","Greene County, OH","264","125","110","27","2",".","161","101","52",".",".","181",".","82","1"
"39061","Hamilton County, OH","365","154","138","60","12","1","208","126","60",".","92","122","76","75","."
"39063","Hancock County, OH","61","61",".",".",".",".","42","32","23",".",".",".",".",".","61"
"39081","Jefferson County, OH","365","153","127","74","11",".","183","125","59","14",".","120","170","57","4"
"39083","Knox County, OH","213","128","66","17","2",".","190","100","46",".",".","213",".",".","."
"39085","Lake County, OH","365","149","128","72","15","1","214","128","61","2",".","123","194","46","."
"39087","Lawrence County, OH","363","236","114","12","1",".","173","84","41",".",".","141","117","105","."
"39089","Licking County, OH","234","149","61","22","2",".","151","101","44",".",".","206",".",".","28"
"39093","Lorain County, OH","262","147","94","19","2",".","185","97","47.5",".",".","174",".","88","."
"39095","Lucas County, OH","365","185","140","34","5","1","203","105","49",".",".","146","92","73","54"
"39097","Madison County, OH","214","120","62","29","3",".","174","108","48",".",".","214",".",".","."
"39099","Mahoning County, OH","365","218","124","21","2",".","174","91","44",".",".","146","129","90","."
"39103","Medina County, OH","226","111","85","25","5",".","190","107","51",".",".","175",".","51","."
"39105","Meigs County, OH","358","296","53","9",".",".","150","66","17",".",".",".","358",".","."
"39109","Miami County, OH","214","132","62","20",".",".","150","93","45.5",".",".","214",".",".","."
"39113","Montgomery County, OH","365","222","116","26","1",".","174","92","43","99",".","165",".","101","."
"39115","Morgan County, OH","347","257","47","36","7",".","200","110","27",".",".",".","347",".","."
"39121","Noble County, OH","355","240","90","24","1",".","154","90","41",".",".","296",".","59","."
"39133","Portage County, OH","257","124","96","28","8","1","202","119","52",".",".","178",".","79","."
"39135","Preble County, OH","263","136","108","18","1",".","154","93","50",".",".","173",".","90","."
"39145","Scioto County, OH","365","224","136","5",".",".","133","79","43",".",".",".","125","99","141"
"39151","Stark County, OH","361","213","114","30","3","1","201","97","45","100",".","166",".","95","."
"39153","Summit County, OH","365","148","148","64","5",".","177","116","57","4",".","131","147","83","."
"39155","Trumbull County, OH","263","121","104","33","5",".","174","108","54",".",".","180",".","82","1"
"39157","Tuscarawas County, OH","349","287","58","3","1",".","200","59","30",".",".",".","349",".","."
"39165","Warren County, OH","212","111","64","33","4",".","190","122","50",".",".","212",".",".","."
"39167","Washington County, OH","234","140","64","24","6",".","179","108","48",".",".","211",".",".","23"
"39173","Wood County, OH","214","134","57","21","2",".","166","105","45",".",".","214",".",".","."
"39175","Wyandot County, OH","146","143","3",".",".",".","52","38","23",".",".",".",".",".","146"
