"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"42001","Adams County, PA","365","220","143","2",".",".","126","71","46",".",".","154",".","211","."
"42003","Allegheny County, PA","365","76","249","35","5",".","173","101","62",".",".","35","59","269","2"
"42005","Armstrong County, PA","273","180","88","5",".",".","133","70","44",".",".","122",".","151","."
"42007","Beaver County, PA","365","128","202","33","2",".","200","99","57",".","7","57","142","159","."
"42011","Berks County, PA","365","227","131","7",".",".","140","75","43",".","15","115","11","224","."
"42013","Blair County, PA","365","329","36",".",".",".","97","50","32",".",".","198","111",".","56"
"42017","Bucks County, PA","365","221","136","8",".",".","122","77","43","1","32","128","18","186","."
"42021","Cambria County, PA","365","183","179","3",".",".","109","73","50",".","10","51","29","270","5"
"42027","Centre County, PA","365","251","114",".",".",".","100","64","41",".",".","180","6","179","."
"42029","Chester County, PA","348","153","191","4",".",".","126","80","53",".",".","63",".","285","."
"42033","Clearfield County, PA","206","175","28","3",".",".","105","61","38",".",".","206",".",".","."
"42041","Cumberland County, PA","365","174","185","6",".",".","117","74","52",".",".",".",".","365","."
"42043","Dauphin County, PA","364","208","149","7",".",".","118","76","46","2","21","92",".","248","1"
"42045","Delaware County, PA","363","187","170","6",".",".","106","71","49",".","22","74","3","264","."
"42047","Elk County, PA","343","317","25","1",".",".","108","49","35",".",".","343",".",".","."
"42049","Erie County, PA","365","264","97","4",".",".","140","63","40","1","26","116","34","186","2"
"42055","Franklin County, PA","208","196","12",".",".",".","84","47","37",".",".","208",".",".","."
"42059","Greene County, PA","214","169","44","1",".",".","112","67","43",".",".","204","10",".","."
"42063","Indiana County, PA","363","306","51","6",".",".","126","61","35",".",".","180","183",".","."
"42069","Lackawanna County, PA","365","259","104","2",".",".","112","64","40",".","52","125",".","188","."
"42071","Lancaster County, PA","365","203","158","4",".",".","128","77","48",".","24","96",".","242","3"
"42073","Lawrence County, PA","365","324","35","6",".",".","110","52","31","1",".","166","80",".","118"
"42077","Lehigh County, PA","362","336","24","2",".",".","108","47","25",".",".","200",".",".","162"
"42079","Luzerne County, PA","365","353","12",".",".",".","90","44","27",".",".","211","72",".","82"
"42081","Lycoming County, PA","236","219","17",".",".",".","97","48","33",".",".","210",".",".","26"
"42085","Mercer County, PA","365","226","133","6",".",".","119","69","46",".",".","171",".","194","."
"42089","Monroe County, PA","167","159","8",".",".",".","84","47","34",".",".","167",".",".","."
"42091","Montgomery County, PA","365","241","121","3",".",".","115","71","42",".",".","139","23","203","."
"42095","Northampton County, PA","365","209","153","3",".",".","117","74","46",".","19","77","17","249","3"
"42099","Perry County, PA","360","339","20","1",".",".","101","46.5","26",".","71","210","79",".","."
"42101","Philadelphia County, PA","365","183","174","8",".",".","147","77","50",".","32","71","1","260","1"
"42111","Somerset County, PA","349","317","31","1",".",".","108","50","33",".",".","349",".",".","."
"42117","Tioga County, PA","199","182","17",".",".",".","90","50","38",".",".","199",".",".","."
"42123","Warren County, PA","334","276","43","15",".",".","128","75","14",".",".",".","334",".","."
"42125","Washington County, PA","365","151","201","13",".",".","141","82","55",".","3","44","39","279","."
"42129","Westmoreland County, PA","344","170","171","3",".",".","108","76","51",".",".","55",".","289","."
"42133","York County, PA","365","192","162","11",".",".","127","77","49",".","27","85","25","228","."
