Rate_adj,health_event,Visit,Geography,year,age_group,month,Sex,rate_per_10k,rate_per_10kpy,count,dailyMean
Age-Adjusted Rate,Asthma,ED,Albany,2005-2007,Total,Total,Total,222.59,74.196,6317,5.769
Age-Adjusted Rate,Asthma,ED,Albany,2005-2019,Total,Total,Total,1071.71,71.447,30185,5.510
Age-Adjusted Rate,Asthma,ED,Albany,2006-2008,Total,Total,Total,222.67,74.225,6341,5.786
Age-Adjusted Rate,Asthma,ED,Albany,2007-2009,Total,Total,Total,230.33,76.778,6557,5.983
Age-Adjusted Rate,Asthma,ED,Albany,2008-2010,Total,Total,Total,233.05,77.682,6608,6.029
Age-Adjusted Rate,Asthma,ED,Albany,2009-2011,Total,Total,Total,234.43,78.144,6626,6.051
Age-Adjusted Rate,Asthma,ED,Albany,2010-2012,Total,Total,Total,231.67,77.223,6514,5.943
Age-Adjusted Rate,Asthma,ED,Albany,2011-2013,Total,Total,Total,231.71,77.237,6498,5.929
Age-Adjusted Rate,Asthma,ED,Albany,2012-2014,Total,Total,Total,232.01,77.338,6484,5.916
Age-Adjusted Rate,Asthma,ED,Albany,2013-2015,Total,Total,Total,222.41,74.137,6245,5.703
Age-Adjusted Rate,Asthma,ED,Albany,2014-2016,Total,Total,Total,208.04,69.348,5846,5.334
Age-Adjusted Rate,Asthma,ED,Albany,2015-2017,Total,Total,Total,190.80,63.600,5401,4.928
Age-Adjusted Rate,Asthma,ED,Albany,2016-2018,Total,Total,Total,180.96,60.319,5079,4.634
Age-Adjusted Rate,Asthma,ED,Albany,2017-2019,Total,Total,Total,,,4916,4.489
Age-Adjusted Rate,Asthma,ED,Allegany,2005-2007,Total,Total,Total,108.52,36.173,500,0.457
Age-Adjusted Rate,Asthma,ED,Allegany,2005-2019,Total,Total,Total,639.88,42.659,2817,0.514
Age-Adjusted Rate,Asthma,ED,Allegany,2006-2008,Total,Total,Total,106.85,35.617,491,0.448
Age-Adjusted Rate,Asthma,ED,Allegany,2007-2009,Total,Total,Total,115.41,38.472,522,0.476
Age-Adjusted Rate,Asthma,ED,Allegany,2008-2010,Total,Total,Total,109.48,36.494,490,0.447
Age-Adjusted Rate,Asthma,ED,Allegany,2009-2011,Total,Total,Total,124.77,41.589,559,0.511
Age-Adjusted Rate,Asthma,ED,Allegany,2010-2012,Total,Total,Total,145.32,48.441,644,0.588
Age-Adjusted Rate,Asthma,ED,Allegany,2011-2013,Total,Total,Total,170.93,56.976,743,0.678
Age-Adjusted Rate,Asthma,ED,Allegany,2012-2014,Total,Total,Total,170.01,56.671,738,0.673
Age-Adjusted Rate,Asthma,ED,Allegany,2013-2015,Total,Total,Total,159.73,53.243,691,0.631
Age-Adjusted Rate,Asthma,ED,Allegany,2014-2016,Total,Total,Total,139.99,46.662,607,0.554
Age-Adjusted Rate,Asthma,ED,Allegany,2015-2017,Total,Total,Total,124.38,41.460,534,0.487
Age-Adjusted Rate,Asthma,ED,Allegany,2016-2018,Total,Total,Total,114.60,38.199,489,0.446
Age-Adjusted Rate,Asthma,ED,Allegany,2017-2019,Total,Total,Total,,,477,0.436
Age-Adjusted Rate,Asthma,ED,Bronx,2005-2007,Total,Total,Total,780.65,260.218,107326,98.015
Age-Adjusted Rate,Asthma,ED,Bronx,2005-2019,Total,Total,Total,3890.69,259.379,549341,100.281
Age-Adjusted Rate,Asthma,ED,Bronx,2006-2008,Total,Total,Total,810.01,270.003,111264,101.518
Age-Adjusted Rate,Asthma,ED,Bronx,2007-2009,Total,Total,Total,795.72,265.241,109799,100.182
Age-Adjusted Rate,Asthma,ED,Bronx,2008-2010,Total,Total,Total,773.01,257.669,107356,97.953
Age-Adjusted Rate,Asthma,ED,Bronx,2009-2011,Total,Total,Total,754.46,251.486,105596,96.435
Age-Adjusted Rate,Asthma,ED,Bronx,2010-2012,Total,Total,Total,782.49,260.829,110362,100.695
Age-Adjusted Rate,Asthma,ED,Bronx,2011-2013,Total,Total,Total,833.60,277.866,118533,108.151
Age-Adjusted Rate,Asthma,ED,Bronx,2012-2014,Total,Total,Total,880.84,293.613,126122,115.075
