geography,Visit,Age Group,month,Year,Race,Frequency,Population,rate,sex
Ohio,Inpatient,0-4,All,2013,White,813,"542,542",15,All
Ohio,Inpatient,0-4,All,2013,Black,730,"132,761",55,All
Ohio,Inpatient,0-4,All,2013,Total,"1,543","675,303",22.8,All
Ohio,Inpatient,0-4,All,2014,White,833,"541,326",15.4,All
Ohio,Inpatient,0-4,All,2014,Black,922,"133,899",68.9,All
Ohio,Inpatient,0-4,All,2014,Total,"1,755","675,225",26,All
Ohio,Inpatient,0-4,All,2015,White,670,"540,765",12.4,All
Ohio,Inpatient,0-4,All,2015,Black,662,"133,760",49.5,All
Ohio,Inpatient,0-4,All,2015,Total,"1,332","674,525",19.7,All
Ohio,Inpatient,0-4,All,2016,White,602,"541,923",11.1,All
Ohio,Inpatient,0-4,All,2016,Black,627,"132,450",47.3,All
Ohio,Inpatient,0-4,All,2016,Total,"1,229","674,373",18.2,All
Ohio,Inpatient,5-14,All,2013,White,863,"1,573,546",5.5,All
Ohio,Inpatient,5-14,All,2013,Black,"1,004","330,883",30.3,All
Ohio,Inpatient,5-14,All,2013,Total,"1,867","1,904,429",9.8,All
Ohio,Inpatient,5-14,All,2014,White,"1,016","1,557,347",6.5,All
Ohio,Inpatient,5-14,All,2014,Black,"1,357","332,518",40.8,All
Ohio,Inpatient,5-14,All,2014,Total,"2,373","1,889,865",12.6,All
Ohio,Inpatient,5-14,All,2015,White,727,"1,540,251",4.7,All
Ohio,Inpatient,5-14,All,2015,Black,"1,107","334,263",33.1,All
Ohio,Inpatient,5-14,All,2015,Total,"1,834","1,874,514",9.8,All
Ohio,Inpatient,5-14,All,2016,White,655,"1,521,745",4.3,All
Ohio,Inpatient,5-14,All,2016,Black,848,"335,101",25.3,All
Ohio,Inpatient,5-14,All,2016,Total,"1,503","1,856,846",8.1,All
Ohio,Inpatient,15-34,All,2013,White,747,"2,086,971",3.6,All
Ohio,Inpatient,15-34,All,2013,Black,515,"392,883",13.1,All
Ohio,Inpatient,15-34,All,2013,Total,"1,262","2,479,854",5.1,All
Ohio,Inpatient,15-34,All,2014,White,713,"2,088,426",3.4,All
Ohio,Inpatient,15-34,All,2014,Black,525,"398,040",13.2,All
Ohio,Inpatient,15-34,All,2014,Total,"1,238","2,486,466",5,All
Ohio,Inpatient,15-34,All,2015,White,585,"2,080,699",2.8,All
Ohio,Inpatient,15-34,All,2015,Black,428,"402,316",10.6,All
Ohio,Inpatient,15-34,All,2015,Total,"1,013","2,483,015",4.1,All
Ohio,Inpatient,15-34,All,2016,White,442,"2,077,280",2.1,All
Ohio,Inpatient,15-34,All,2016,Black,321,"408,306",7.9,All
Ohio,Inpatient,15-34,All,2016,Total,763,"2,485,586",3.1,All
Ohio,Inpatient,35-64,All,2013,White,"3,964","3,953,889",10,All
Ohio,Inpatient,35-64,All,2013,Black,"2,189","539,900",40.5,All
Ohio,Inpatient,35-64,All,2013,Total,"6,153","4,493,789",13.7,All
Ohio,Inpatient,35-64,All,2014,White,"3,920","3,924,919",10,All
Ohio,Inpatient,35-64,All,2014,Black,"2,204","542,089",40.7,All
Ohio,Inpatient,35-64,All,2014,Total,"6,124","4,467,008",13.7,All
Ohio,Inpatient,35-64,All,2015,White,"3,084","3,898,306",7.9,All
Ohio,Inpatient,35-64,All,2015,Black,"1,902","544,859",34.9,All
Ohio,Inpatient,35-64,All,2015,Total,"4,986","4,443,165",11.2,All
Ohio,Inpatient,35-64,All,2016,White,"1,180","3,867,640",3.1,All
Ohio,Inpatient,35-64,All,2016,Black,827,"545,939",15.1,All
Ohio,Inpatient,35-64,All,2016,Total,"2,007","4,413,579",4.5,All
Ohio,Inpatient,65,All,2013,White,"3,024","1,575,672",19.2,All
Ohio,Inpatient,65,All,2013,Black,799,"152,993",52.2,All
Ohio,Inpatient,65,All,2013,Total,"3,823","1,728,665",22.1,All
Ohio,Inpatient,65,All,2014,White,"2,863","1,616,308",17.7,All
Ohio,Inpatient,65,All,2014,Black,781,"158,597",49.2,All
Ohio,Inpatient,65,All,2014,Total,"3,645","1,774,905",20.5,All
Ohio,Inpatient,65,All,2015,White,"2,414","1,652,789",14.6,All
Ohio,Inpatient,65,All,2015,Black,742,"164,455",45.1,All
Ohio,Inpatient,65,All,2015,Total,"3,156","1,817,244",17.4,All
Ohio,Inpatient,65,All,2016,White,543,"1,688,518",3.2,All
Ohio,Inpatient,65,All,2016,Black,164,"170,440",9.6,All
Ohio,Inpatient,65,All,2016,Total,707,"1,858,958",3.8,All
Ohio,Inpatient,All,All,2013,White,"9,411","9,732,620",9.7,All
Ohio,Inpatient,All,All,2013,Black,"5,237","1,549,420",33.8,All
Ohio,Inpatient,All,All,2013,Total,"14,648","11,282,040",13,All
Ohio,Inpatient,All,All,2014,White,"9,345","9,728,326",9.6,All
Ohio,Inpatient,All,All,2014,Black,"5,789","1,565,143",37,All
Ohio,Inpatient,All,All,2014,Total,"15,135","11,293,469",13.4,All
Ohio,Inpatient,All,All,2015,White,"7,480","9,712,810",7.7,All
Ohio,Inpatient,All,All,2015,Black,"4,841","1,579,653",30.6,All
Ohio,Inpatient,All,All,2015,Total,"12,321","11,292,463",10.9,All
Ohio,Inpatient,All,All,2016,White,"3,422","9,697,106",3.5,All
Ohio,Inpatient,All,All,2016,Black,"2,787","1,592,236",17.5,All
Ohio,Inpatient,All,All,2016,Total,"6,209","11,289,342",5.5,All
Ohio,ED,0-4,All,2013,White,"3,205","542,542",59.1,All
Ohio,ED,0-4,All,2013,Black,"2,811","132,761",211.7,All
Ohio,ED,0-4,All,2013,Total,"6,016","675,303",89.1,All
Ohio,ED,0-4,All,2014,White,"3,166","541,326",58.5,All
Ohio,ED,0-4,All,2014,Black,"3,053","133,899",228,All
Ohio,ED,0-4,All,2014,Total,"6,219","675,225",92.1,All
Ohio,ED,0-4,All,2015,White,"2,745","540,765",50.8,All
Ohio,ED,0-4,All,2015,Black,"2,939","133,760",219.7,All
Ohio,ED,0-4,All,2015,Total,"5,684","674,525",84.3,All
Ohio,ED,0-4,All,2016,White,"2,650","541,923",48.9,All
Ohio,ED,0-4,All,2016,Black,"2,765","132,450",209,All
Ohio,ED,0-4,All,2016,Total,"5,416","674,373",80.3,All
Ohio,ED,5-14,All,2013,White,"6,980","1,573,546",44.4,All
Ohio,ED,5-14,All,2013,Black,"5,194","330,883",157,All
Ohio,ED,5-14,All,2013,Total,"12,174","1,904,429",63.9,All
Ohio,ED,5-14,All,2014,White,"7,100","1,557,347",45.6,All
Ohio,ED,5-14,All,2014,Black,"5,638","332,518",169.6,All
Ohio,ED,5-14,All,2014,Total,"12,738","1,889,865",67.4,All
Ohio,ED,5-14,All,2015,White,"6,077","1,540,251",39.5,All
Ohio,ED,5-14,All,2015,Black,"5,705","334,263",170.7,All
Ohio,ED,5-14,All,2015,Total,"11,782","1,874,514",62.9,All
Ohio,ED,5-14,All,2016,White,"5,799","1,521,745",38.1,All
Ohio,ED,5-14,All,2016,Black,"5,459","335,101",163,All
Ohio,ED,5-14,All,2016,Total,"11,267","1,856,846",60.7,All
Ohio,ED,15-34,All,2013,White,"9,919","2,086,971",47.5,All
Ohio,ED,15-34,All,2013,Black,"7,039","392,883",179.2,All
Ohio,ED,15-34,All,2013,Total,"16,958","2,479,854",68.4,All
Ohio,ED,15-34,All,2014,White,"9,624","2,088,426",46.1,All
Ohio,ED,15-34,All,2014,Black,"7,262","398,040",182.4,All
Ohio,ED,15-34,All,2014,Total,"16,887","2,486,466",67.9,All
