rate_adj,health_event,geography,geography_code,year,sex,race,age,Count,Population,rate,lb,ub,significance
Age-Adjusted Rate,Asthma,Pennsylvania,0,2019,Total,All Races,All Ages,"8,565","12,801,989",70.6,69.1,72.1,
Age-Adjusted Rate,Asthma,Adams,1,2019,Total,All Races,All Ages,31,"103,009",32.6,21.1,44.1,-
Age-Adjusted Rate,Asthma,Allegheny,3,2019,Total,All Races,All Ages,676,"1,216,045",60.4,55.9,65,-
Age-Adjusted Rate,Asthma,Armstrong,5,2019,Total,All Races,All Ages,25,"64,735",43.6,26.5,60.6,-
Age-Adjusted Rate,Asthma,Beaver,7,2019,Total,All Races,All Ages,77,"163,929",49.6,38.5,60.7,-
Age-Adjusted Rate,Asthma,Bedford,9,2019,Total,All Races,All Ages,ND,"47,888",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Berks,11,2019,Total,All Races,All Ages,460,"421,164",116.1,105.5,126.7,+
Age-Adjusted Rate,Asthma,Blair,13,2019,Total,All Races,All Ages,48,"121,829",39.9,28.6,51.2,-
Age-Adjusted Rate,Asthma,Bradford,15,2019,Total,All Races,All Ages,24,"60,323",36.4,21.8,51,-
Age-Adjusted Rate,Asthma,Bucks,17,2019,Total,All Races,All Ages,363,"628,270",57.5,51.6,63.4,-
Age-Adjusted Rate,Asthma,Butler,19,2019,Total,All Races,All Ages,57,"187,853",27.8,20.6,35,-
Age-Adjusted Rate,Asthma,Cambria,21,2019,Total,All Races,All Ages,42,"130,192",37.5,26.1,48.8,-
Age-Adjusted Rate,Asthma,Cameron,23,2019,Total,All Races,All Ages,ND,"4,447",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Carbon,25,2019,Total,All Races,All Ages,23,"64,182",32.9,19.5,46.4,-
Age-Adjusted Rate,Asthma,Centre,27,2019,Total,All Races,All Ages,37,"162,385",25.7,17.4,33.9,-
Age-Adjusted Rate,Asthma,Chester,29,2019,Total,All Races,All Ages,202,"524,989",36.5,31.5,41.6,-
Age-Adjusted Rate,Asthma,Clarion,31,2019,Total,All Races,All Ages,11,"38,438",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Clearfield,33,2019,Total,All Races,All Ages,29,"79,255",31.9,20.3,43.5,-
Age-Adjusted Rate,Asthma,Clinton,35,2019,Total,All Races,All Ages,10,"38,632",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Columbia,37,2019,Total,All Races,All Ages,19,"64,964",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Crawford,39,2019,Total,All Races,All Ages,27,"84,629",33.8,21,46.5,-
Age-Adjusted Rate,Asthma,Cumberland,41,2019,Total,All Races,All Ages,54,"253,370",21.3,15.6,27,-
Age-Adjusted Rate,Asthma,Dauphin,43,2019,Total,All Races,All Ages,129,"278,299",48.6,40.2,56.9,-
Age-Adjusted Rate,Asthma,Delaware,45,2019,Total,All Races,All Ages,495,"566,747",93.2,85,101.4,+
Age-Adjusted Rate,Asthma,Elk,47,2019,Total,All Races,All Ages,21,"29,910",67.6,38.7,96.4,
Age-Adjusted Rate,Asthma,Erie,49,2019,Total,All Races,All Ages,103,"269,728",38,30.7,45.4,-
Age-Adjusted Rate,Asthma,Fayette,51,2019,Total,All Races,All Ages,60,"129,274",49,36.6,61.4,-
Age-Adjusted Rate,Asthma,Forest,53,2019,Total,All Races,All Ages,ND,"7,247",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Franklin,55,2019,Total,All Races,All Ages,58,"155,027",41.7,30.9,52.4,-
Age-Adjusted Rate,Asthma,Fulton,57,2019,Total,All Races,All Ages,ND,"14,530",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Greene,59,2019,Total,All Races,All Ages,14,"36,233",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Huntingdon,61,2019,Total,All Races,All Ages,10,"45,144",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Indiana,63,2019,Total,All Races,All Ages,32,"84,073",34.4,22.5,46.4,-
Age-Adjusted Rate,Asthma,Jefferson,65,2019,Total,All Races,All Ages,13,"43,425",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Juniata,67,2019,Total,All Races,All Ages,ND,"24,763",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Lackawanna,69,2019,Total,All Races,All Ages,95,"209,674",47.7,38.1,57.3,-
Age-Adjusted Rate,Asthma,Lancaster,71,2019,Total,All Races,All Ages,192,"545,724",36.5,31.3,41.6,-
Age-Adjusted Rate,Asthma,Lawrence,73,2019,Total,All Races,All Ages,17,"85,512",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Lebanon,75,2019,Total,All Races,All Ages,47,"141,793",33.8,24.1,43.5,-
Age-Adjusted Rate,Asthma,Lehigh,77,2019,Total,All Races,All Ages,303,"369,318",86.1,76.4,95.7,+
Age-Adjusted Rate,Asthma,Luzerne,79,2019,Total,All Races,All Ages,148,"317,417",47,39.4,54.6,-
Age-Adjusted Rate,Asthma,Lycoming,81,2019,Total,All Races,All Ages,15,"113,299",ND,ND,ND,-
Age-Adjusted Rate,Asthma,McKean,83,2019,Total,All Races,All Ages,19,"40,625",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Mercer,85,2019,Total,All Races,All Ages,49,"109,424",40.1,28.9,51.3,-
Age-Adjusted Rate,Asthma,Mifflin,87,2019,Total,All Races,All Ages,16,"46,138",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Monroe,89,2019,Total,All Races,All Ages,113,"170,271",74.3,60.6,88,
Age-Adjusted Rate,Asthma,Montgomery,91,2019,Total,All Races,All Ages,498,"830,915",59.9,54.7,65.2,-
Age-Adjusted Rate,Asthma,Montour,93,2019,Total,All Races,All Ages,11,"18,230",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Northampton,95,2019,Total,All Races,All Ages,223,"305,285",73.3,63.7,82.9,
Age-Adjusted Rate,Asthma,Northumberland,97,2019,Total,All Races,All Ages,36,"90,843",39.9,26.9,52.9,-
Age-Adjusted Rate,Asthma,Perry,99,2019,Total,All Races,All Ages,24,"46,272",51.4,30.9,72,
Age-Adjusted Rate,Asthma,Philadelphia,101,2019,Total,All Races,All Ages,"3,091","1,584,064",208.3,201,215.6,+
Age-Adjusted Rate,Asthma,Pike,103,2019,Total,All Races,All Ages,14,"55,809",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Potter,105,2019,Total,All Races,All Ages,ND,"16,526",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Schuylkill,107,2019,Total,All Races,All Ages,46,"141,359",33.5,23.8,43.1,-
Age-Adjusted Rate,Asthma,Snyder,109,2019,Total,All Races,All Ages,ND,"40,372",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Somerset,111,2019,Total,All Races,All Ages,11,"73,447",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Sullivan,113,2019,Total,All Races,All Ages,ND,"6,066",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Susquehanna,115,2019,Total,All Races,All Ages,14,"40,328",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Tioga,117,2019,Total,All Races,All Ages,ND,"40,591",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Union,119,2019,Total,All Races,All Ages,ND,"44,923",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Venango,121,2019,Total,All Races,All Ages,18,"50,668",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Warren,123,2019,Total,All Races,All Ages,ND,"39,191",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Washington,125,2019,Total,All Races,All Ages,79,"206,865",38.3,29.9,46.8,-
Age-Adjusted Rate,Asthma,Wayne,127,2019,Total,All Races,All Ages,ND,"51,361",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Westmoreland,129,2019,Total,All Races,All Ages,127,"348,899",35.6,29.4,41.8,-
Age-Adjusted Rate,Asthma,Wyoming,131,2019,Total,All Races,All Ages,ND,"26,794",ND,ND,ND,-
Age-Adjusted Rate,Asthma,York,133,2019,Total,All Races,All Ages,161,"449,058",36.4,30.8,42,-
Age-Adjusted Rate,Asthma,Pennsylvania,0,2018,Total,All Races,All Ages,"10,009","12,807,060",84.3,82.7,86,
Age-Adjusted Rate,Asthma,Adams,1,2018,Total,All Races,All Ages,35,"102,811",40.4,27,53.8,-
Age-Adjusted Rate,Asthma,Allegheny,3,2018,Total,All Races,All Ages,752,"1,218,452",66,61.3,70.8,-
Age-Adjusted Rate,Asthma,Armstrong,5,2018,Total,All Races,All Ages,29,"65,263",40,25.5,54.6,-
Age-Adjusted Rate,Asthma,Beaver,7,2018,Total,All Races,All Ages,60,"164,742",40.3,30.1,50.5,-
Age-Adjusted Rate,Asthma,Bedford,9,2018,Total,All Races,All Ages,ND,"48,176",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Berks,11,2018,Total,All Races,All Ages,424,"420,152",109.1,98.7,119.4,+
