year,countyfips,county,state,O3,hover
2001,23001,Androscoggin,ME,37.19,Androscoggin <br> Average Daily Max 38.85 <br> Average Daily Median 37.16
2001,23003,Aroostook,ME,33.56,Aroostook <br> Average Daily Max 35.7 <br> Average Daily Median 33.44
2001,23005,Cumberland,ME,38.6,Cumberland <br> Average Daily Max 41.77 <br> Average Daily Median 38.75
2001,23007,Franklin,ME,37.54,Franklin <br> Average Daily Max 39.29 <br> Average Daily Median 37.34
2001,23009,Hancock,ME,39.8,Hancock <br> Average Daily Max 42.37 <br> Average Daily Median 39.73
2001,23011,Kennebec,ME,37.17,Kennebec <br> Average Daily Max 38.7 <br> Average Daily Median 37.17
2001,23013,Knox,ME,39.56,Knox <br> Average Daily Max 41.4 <br> Average Daily Median 39.5
2001,23015,Lincoln,ME,39.11,Lincoln <br> Average Daily Max 40.63 <br> Average Daily Median 38.93
2001,23017,Oxford,ME,37.56,Oxford <br> Average Daily Max 40.02 <br> Average Daily Median 37.41
2001,23019,Penobscot,ME,37.26,Penobscot <br> Average Daily Max 39.91 <br> Average Daily Median 37.5
2001,23021,Piscataquis,ME,36.33,Piscataquis <br> Average Daily Max 38.28 <br> Average Daily Median 36.27
2001,23023,Sagadahoc,ME,38.66,Sagadahoc <br> Average Daily Max 40.22 <br> Average Daily Median 38.61
2001,23025,Somerset,ME,36.65,Somerset <br> Average Daily Max 39 <br> Average Daily Median 36.55
2001,23027,Waldo,ME,38.25,Waldo <br> Average Daily Max 39.83 <br> Average Daily Median 38.22
2001,23029,Washington,ME,38.67,Washington <br> Average Daily Max 41.06 <br> Average Daily Median 38.54
2001,23031,York,ME,38.66,York <br> Average Daily Max 41.6 <br> Average Daily Median 38.66
2001,36001,Albany,NY,38.4,Albany <br> Average Daily Max 42.36 <br> Average Daily Median 38.17
2001,36003,Allegany,NY,42.39,Allegany <br> Average Daily Max 43.53 <br> Average Daily Median 42.4
2001,36005,Bronx,NY,31.73,Bronx <br> Average Daily Max 34.57 <br> Average Daily Median 31.61
2001,36007,Broome,NY,41.29,Broome <br> Average Daily Max 42.95 <br> Average Daily Median 41.26
2001,36009,Cattaraugus,NY,42.41,Cattaraugus <br> Average Daily Max 44.14 <br> Average Daily Median 42.4
2001,36011,Cayuga,NY,39.96,Cayuga <br> Average Daily Max 42.14 <br> Average Daily Median 39.86
2001,36013,Chautauqua,NY,42.52,Chautauqua <br> Average Daily Max 44.63 <br> Average Daily Median 42.37
2001,36015,Chemung,NY,41.44,Chemung <br> Average Daily Max 42.09 <br> Average Daily Median 41.46
2001,36017,Chenango,NY,41.73,Chenango <br> Average Daily Max 42.97 <br> Average Daily Median 41.78
2001,36019,Clinton,NY,39.45,Clinton <br> Average Daily Max 42.17 <br> Average Daily Median 39.22
2001,36021,Columbia,NY,40.8,Columbia <br> Average Daily Max 42.91 <br> Average Daily Median 40.75
2001,36023,Cortland,NY,41.5,Cortland <br> Average Daily Max 42.42 <br> Average Daily Median 41.48
2001,36025,Delaware,NY,42.62,Delaware <br> Average Daily Max 44.27 <br> Average Daily Median 42.61
2001,36027,Dutchess,NY,40.6,Dutchess <br> Average Daily Max 43.18 <br> Average Daily Median 40.54
2001,36029,Erie,NY,40.92,Erie <br> Average Daily Max 44.62 <br> Average Daily Median 40.75
2001,36031,Essex,NY,41.58,Essex <br> Average Daily Max 44.44 <br> Average Daily Median 41.4
2001,36033,Franklin,NY,41.24,Franklin <br> Average Daily Max 43.72 <br> Average Daily Median 41.22
2001,36035,Fulton,NY,40.25,Fulton <br> Average Daily Max 41.59 <br> Average Daily Median 40.18
2001,36037,Genesee,NY,40.78,Genesee <br> Average Daily Max 42.14 <br> Average Daily Median 40.84
2001,36039,Greene,NY,41.14,Greene <br> Average Daily Max 43.76 <br> Average Daily Median 40.99
2001,36041,Hamilton,NY,42.01,Hamilton <br> Average Daily Max 43.29 <br> Average Daily Median 42.04
2001,36043,Herkimer,NY,40.43,Herkimer <br> Average Daily Max 42.96 <br> Average Daily Median 40.33
2001,36045,Jefferson,NY,42.38,Jefferson <br> Average Daily Max 44.7 <br> Average Daily Median 42.53
2001,36047,Kings,NY,32.45,Kings <br> Average Daily Max 36.04 <br> Average Daily Median 32.42
2001,36049,Lewis,NY,41.49,Lewis <br> Average Daily Max 42.93 <br> Average Daily Median 41.53
2001,36051,Livingston,NY,40.75,Livingston <br> Average Daily Max 42.4 <br> Average Daily Median 40.7
2001,36053,Madison,NY,40.77,Madison <br> Average Daily Max 42.77 <br> Average Daily Median 40.65
2001,36055,Monroe,NY,38.03,Monroe <br> Average Daily Max 41.21 <br> Average Daily Median 37.78
2001,36057,Montgomery,NY,39.77,Montgomery <br> Average Daily Max 41.19 <br> Average Daily Median 39.52
2001,36059,Nassau,NY,36.47,Nassau <br> Average Daily Max 41.55 <br> Average Daily Median 36.58
2001,36061,New York,NY,30.99,New York <br> Average Daily Max 34.56 <br> Average Daily Median 30.75
2001,36063,Niagara,NY,40.72,Niagara <br> Average Daily Max 43.06 <br> Average Daily Median 40.66
2001,36065,Oneida,NY,39.95,Oneida <br> Average Daily Max 42.77 <br> Average Daily Median 39.85
2001,36067,Onondaga,NY,39.33,Onondaga <br> Average Daily Max 42.2 <br> Average Daily Median 39.23
