Incidence Rate Report for New York by County

"Melanoma of the Skin (All Stages^), 2014-2018"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"New York(7)",36000,***,18.1 ,17.8, 18.3,N/A , 44 , 47,4187,stable,0.6 ,-0.3, 1.4
"US (SEER+NPCR)(1)",00000,***,22.6 ,22.5, 22.7,N/A , N/A , N/A,83620,stable,0.2 ,-2.5, 2.9
"Orleans County(7)",36073,***,32.2 ,25.3, 40.5,1 , 1 , 36,16,rising,7.5 ,3.8, 11.3
"Yates County(7)",36123,***,31.8 ,22.7, 43.3,2 , 1 , 51,10,stable,3.4 ,-0.8, 7.8
"Allegany County(7)",36003,***,31.4 ,24.9, 39.3,3 , 1 , 36,18,rising,3.5 ,0.4, 6.7
"Jefferson County(7)",36045,***,31.3 ,26.8, 36.4,4 , 1 , 28,35,rising,7.4 ,5.2, 9.5
"Otsego County(7)",36077,***,31.2 ,25.4, 38,5 , 1 , 34,24,rising,3.7 ,1.2, 6.3
"Niagara County(7)",36063,***,30.7 ,27.7, 34.1,6 , 1 , 22,83,rising,4.9 ,3.5, 6.3
"Warren County(7)",36113,***,30.7 ,25.4, 36.8,7 , 1 , 33,27,stable,1.3 ,-0.7, 3.2
"Schuyler County(7)",36097,***,30.2 ,21, 42.5,8 , 1 , 55,8,stable,3.5 ,-0.3, 7.4
"Tioga County(7)",36107,***,30.1 ,24.2, 37.1,9 , 1 , 40,20,stable,3.5 ,-0.1, 7.3
"Ontario County(7)",36069,***,30 ,25.8, 34.6,10 , 1 , 30,42,stable,0.7 ,-2.4, 3.9
"Genesee County(7)",36037,***,29.7 ,24.3, 36.1,11 , 1 , 39,23,rising,5.0 ,2.5, 7.5
"Seneca County(7)",36099,***,29.6 ,22.4, 38.5,12 , 1 , 46,13,rising,4.7 ,1.4, 8.1
"Cattaraugus County(7)",36009,***,29.3 ,24.5, 34.9,13 , 1 , 36,28,rising,12.3 ,2.2, 23.4
"Erie County(7)",36029,***,29 ,27.6, 30.5,14 , 4 , 22,336,stable,1.8 ,-1.0, 4.8
"Cortland County(7)",36023,***,28.7 ,22.1, 36.5,15 , 1 , 45,14,rising,7.7 ,3.8, 11.7
"Broome County(7)",36007,***,28.3 ,25.2, 31.6,16 , 2 , 31,69,rising,3.6 ,2.4, 4.9
"Livingston County(7)",36051,***,27.9 ,22.6, 34,17 , 1 , 43,22,stable,0.8 ,-2.4, 4.1
"Monroe County(7)",36055,***,27.7 ,26.1, 29.4,18 , 7 , 27,243,stable,2.3 ,-0.2, 4.9
"Cayuga County(7)",36011,***,27.7 ,23, 33.1,19 , 1 , 43,27,rising,3.7 ,1.0, 6.5
"Saratoga County(7)",36091,***,26.8 ,24.1, 29.7,20 , 6 , 34,77,stable,-6.0 ,-19.8, 10.3
