Year of Diagnosis/Death,Incidence,,,,,,,,,Mortality,,,,,,,,
,Males and Females,,,Males,,,Females,,,Males and Females,,,Males,,,Females,,
,Cases,"Rate per 100,000 Population",95% CI,Cases,"Rate per 100,000 Males",95% CI,Cases,"Rate per 100,000 Females",95% CI,Deaths,"Rate per 100,000 Population",95% CI,Deaths,"Rate per 100,000 Males",95% CI,Deaths,"Rate per 100,000 Females",95% CI
1976,956,5.7,5.3-6.1,487,6.6,6.0-7.3,469,5.1,4.6-5.6,389,2.4,2.1-2.6,216,3.0,2.6-3.4,173,1.9,1.6-2.2
1977,1106,6.6,6.2-7.0,564,7.6,6.9-8.3,542,5.9,5.4-6.4,398,2.4,2.2-2.7,236,3.3,2.9-3.8,162,1.8,1.5-2.1
1978,1041,6.3,5.9-6.7,517,7.1,6.5-7.8,524,5.8,5.3-6.4,341,2.1,1.8-2.3,210,3.0,2.6-3.4,131,1.4,1.2-1.7
1979,1106,6.7,6.3-7.1,571,7.7,7.1-8.4,535,5.9,5.4-6.4,381,2.3,2.1-2.6,211,2.9,2.5-3.4,170,1.8,1.6-2.1
1980,1286,7.7,7.3-8.1,680,9.2,8.5-10.0,606,6.6,6.1-7.2,403,2.4,2.2-2.7,231,3.1,2.7-3.6,172,1.8,1.6-2.2
1981,1239,7.4,7.0-7.8,626,8.4,7.8-9.2,613,6.6,6.1-7.2,394,2.3,2.1-2.6,226,3.1,2.7-3.5,168,1.8,1.5-2.1
1982,1281,7.6,7.2-8.0,641,8.7,8.0-9.4,640,6.9,6.3-7.4,392,2.3,2.1-2.6,236,3.3,2.8-3.7,156,1.6,1.4-1.9
1983,1396,8.2,7.8-8.7,741,10.1,9.3-10.8,655,7.1,6.5-7.7,400,2.4,2.1-2.6,230,3.2,2.8-3.6,170,1.8,1.5-2.1
1984,1335,7.8,7.4-8.2,702,9.3,8.6-10.1,633,6.8,6.2-7.3,425,2.5,2.2-2.7,248,3.3,2.9-3.8,177,1.8,1.6-2.1
