Incidence Rate Report for Ohio by County

"Melanoma of the Skin (All Stages^), 2014-2018"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Ohio(6)",39000,***,24.8 ,24.4, 25.1,N/A , 19 , 23,3403,stable,1.5 ,-4.7, 8.0
"US (SEER+NPCR)(1)",00000,***,22.6 ,22.5, 22.7,N/A , N/A , N/A,83620,stable,0.2 ,-2.5, 2.9
"Miami County(6)",39109,***,37.3 ,32.5, 42.6,1 , 1 , 22,47,rising,5.7 ,3.2, 8.2
"Geauga County(6)",39055,***,34.7 ,29.9, 40.1,2 , 1 , 36,43,rising,21.5 ,3.7, 42.4
"Darke County(6)",39037,***,33.4 ,27, 40.9,3 , 1 , 55,21,rising,6.2 ,2.6, 9.9
"Warren County(6)",39165,***,33.2 ,30, 36.6,4 , 1 , 30,83,rising,3.0 ,1.1, 4.9
"Erie County(6)",39043,***,33.1 ,28, 38.8,5 , 1 , 53,35,rising,2.5 ,0.3, 4.7
"Putnam County(6)",39137,***,32.4 ,24.5, 42,6 , 1 , 73,12,rising,4.7 ,1.1, 8.4
"Auglaize County(6)",39011,***,32.3 ,25.8, 40,7 , 1 , 66,18,rising,2.9 ,1.0, 4.9
"Muskingum County(6)",39119,***,32.2 ,27.3, 37.8,8 , 1 , 55,33,stable,2.2 ,-0.1, 4.6
"Wood County(6)",39173,***,32.1 ,27.9, 36.8,9 , 1 , 47,45,rising,3.1 ,1.0, 5.3
"Champaign County(6)",39021,***,31.8 ,24.7, 40.4,10 , 1 , 71,15,rising,3.5 ,0.3, 6.8
"Mercer County(6)",39107,***,31.3 ,24.2, 39.8,11 , 1 , 75,15,stable,-0.2 ,-3.4, 3.1
"Medina County(6)",39103,***,31.2 ,27.9, 34.9,12 , 2 , 43,67,rising,2.2 ,0.7, 3.7
"Lake County(6)",39085,***,30.9 ,28, 34.1,13 , 2 , 43,92,rising,9.0 ,5.9, 12.2
