state,county,outcome,age_adjusted_incidence_rate,fips
NY,Albany,asthma,82.98,36001
NY,Albany,lung cancer,70.2,36001
NY,Albany,melanoma,22.3,36001
NY,Allegany,asthma,59,36003
NY,Allegany,lung cancer,73.6,36003
NY,Allegany,melanoma,31.4,36003
NY,Bronx,asthma,485.78,36005
NY,Bronx,lung cancer,46.6,36005
NY,Bronx,melanoma,4.3,36005
NY,Broome,asthma,81.76,36007
NY,Broome,lung cancer,63.6,36007
NY,Broome,melanoma,28.3,36007
NY,Cattaraugus,asthma,50.27,36009
NY,Cattaraugus,lung cancer,72,36009
NY,Cattaraugus,melanoma,29.3,36009
NY,Cayuga,asthma,49.93,36011
NY,Cayuga,lung cancer,82.6,36011
NY,Cayuga,melanoma,27.7,36011
NY,Chautauqua,asthma,59.58,36013
NY,Chautauqua,lung cancer,71.7,36013
NY,Chautauqua,melanoma,26.7,36013
NY,Chemung,asthma,65.01,36015
NY,Chemung,lung cancer,72.7,36015
NY,Chemung,melanoma,22.5,36015
NY,Chenango,asthma,47.69,36017
NY,Chenango,lung cancer,73.2,36017
NY,Chenango,melanoma,25.1,36017
NY,Clinton,asthma,61.67,36019
NY,Clinton,lung cancer,97.8,36019
NY,Clinton,melanoma,25,36019
NY,Columbia,asthma,90.8,36021
NY,Columbia,lung cancer,68.7,36021
NY,Columbia,melanoma,18.7,36021
NY,Cortland,asthma,37.31,36023
NY,Cortland,lung cancer,84.8,36023
NY,Cortland,melanoma,28.7,36023
NY,Delaware,asthma,45.99,36025
NY,Delaware,lung cancer,64.1,36025
NY,Delaware,melanoma,23.4,36025
NY,Dutchess,asthma,121.08,36027
NY,Dutchess,lung cancer,59.4,36027
NY,Dutchess,melanoma,18.3,36027
NY,Erie,asthma,95.86,36029
NY,Erie,lung cancer,71.2,36029
NY,Erie,melanoma,29,36029
NY,Essex,asthma,24.67,36031
NY,Essex,lung cancer,66.9,36031
NY,Essex,melanoma,21.5,36031
NY,Franklin,asthma,44.36,36033
NY,Franklin,lung cancer,82.3,36033
NY,Franklin,melanoma,17.1,36033
NY,Fulton,asthma,96.19,36035
NY,Fulton,lung cancer,84.6,36035
NY,Fulton,melanoma,23.5,36035
NY,Genesee,asthma,37.19,36037
NY,Genesee,lung cancer,73.6,36037
NY,Genesee,melanoma,29.7,36037
NY,Greene,asthma,58.85,36039
NY,Greene,lung cancer,79.9,36039
NY,Greene,melanoma,16.6,36039
NY,Hamilton,asthma,4.51,36041
NY,Hamilton,lung cancer,71.9,36041
NY,Herkimer,asthma,61.27,36043
NY,Herkimer,lung cancer,76.5,36043
NY,Herkimer,melanoma,21.3,36043
NY,Jefferson,asthma,49.24,36045
NY,Jefferson,lung cancer,93.7,36045
NY,Jefferson,melanoma,31.3,36045
NY,Kings,asthma,199.41,36047
NY,Kings,lung cancer,45.5,36047
NY,Kings,melanoma,8.5,36047
NY,Lewis,asthma,44.45,36049
NY,Lewis,lung cancer,57.7,36049
NY,Lewis,melanoma,21.3,36049
NY,Livingston,asthma,38.75,36051
NY,Livingston,lung cancer,70.2,36051
NY,Livingston,melanoma,27.9,36051
NY,Madison,asthma,55.69,36053
NY,Madison,lung cancer,74.9,36053
NY,Madison,melanoma,21.5,36053
NY,Monroe,asthma,88.17,36055
NY,Monroe,lung cancer,62.7,36055
NY,Monroe,melanoma,27.7,36055
NY,Montgomery,asthma,64.32,36057
NY,Montgomery,lung cancer,80,36057
NY,Montgomery,melanoma,16.3,36057
NY,Nassau,asthma,111.63,36059
NY,Nassau,lung cancer,52.8,36059
NY,Nassau,melanoma,22.5,36059
NY,New York,lung cancer,45.6,36061
NY,New York,melanoma,17.4,36061
NY,Niagara,asthma,58.79,36063
NY,Niagara,lung cancer,76.8,36063
NY,Niagara,melanoma,30.7,36063
NY,Oneida,asthma,82.45,36065
NY,Oneida,lung cancer,72.6,36065
NY,Oneida,melanoma,18.6,36065
NY,Onondaga,asthma,61.35,36067
NY,Onondaga,lung cancer,75.6,36067
NY,Onondaga,melanoma,19.5,36067
NY,Ontario,asthma,35.48,36069
NY,Ontario,lung cancer,68,36069
NY,Ontario,melanoma,30,36069
NY,Orange,asthma,122.48,36071
NY,Orange,lung cancer,62.9,36071
NY,Orange,melanoma,20.3,36071
NY,Orleans,asthma,43.66,36073
