state,county,outcome,age_adjusted_incidence_rate
PA,Forest,lung cancer,79.8
PA,Fayette,lung cancer,74.4
PA,Perry,lung cancer,73.1
PA,Greene,lung cancer,72.9
PA,Philadelphia,lung cancer,72.9
PA,Lawrence,lung cancer,71.3
PA,Schuylkill,lung cancer,71
PA,Luzerne,lung cancer,70.8
PA,Northumberland,lung cancer,70.3
PA,Blair,lung cancer,70.2
PA,Wyoming,lung cancer,70
PA,Washington,lung cancer,69.9
PA,Crawford,lung cancer,69.9
PA,Montour,lung cancer,69.4
PA,Beaver,lung cancer,69.1
PA,Fulton,lung cancer,68.6
PA,Allegheny,lung cancer,67.9
PA,Monroe,lung cancer,67.7
PA,Venango,lung cancer,67.6
PA,Lackawanna,lung cancer,66.8
PA,Cameron,lung cancer,66.5
PA,McKean,lung cancer,66.4
PA,Delaware,lung cancer,66.3
PA,Lycoming,lung cancer,66.1
PA,Mifflin,lung cancer,66.1
PA,York,lung cancer,65.4
PA,Pike,lung cancer,65.3
PA,Erie,lung cancer,64.3
PA,Adams,lung cancer,64.1
PA,Berks,lung cancer,63.5
PA,Elk,lung cancer,63
PA,Lehigh,lung cancer,61.8
PA,Jefferson,lung cancer,61.6
PA,Northampton,lung cancer,61.6
PA,Westmoreland,lung cancer,61.4
PA,Clearfield,lung cancer,61.4
PA,Bradford,lung cancer,61
PA,Clarion,lung cancer,60.5
PA,Butler,lung cancer,60.5
PA,Columbia,lung cancer,60.4
PA,Franklin,lung cancer,60.4
PA,Clinton,lung cancer,60.4
PA,Tioga,lung cancer,60.2
PA,Armstrong,lung cancer,59.7
PA,Warren,lung cancer,59.4
PA,Mercer,lung cancer,59.3
PA,Bucks,lung cancer,58.6
PA,Dauphin,lung cancer,58
PA,Cambria,lung cancer,58
PA,Carbon,lung cancer,58
PA,Wayne,lung cancer,57.7
PA,Bedford,lung cancer,57.3
PA,Lebanon,lung cancer,56.9
PA,Huntingdon,lung cancer,56.7
PA,Juniata,lung cancer,56.5
PA,Potter,lung cancer,55.8
PA,Sullivan,lung cancer,55.1
