year,age_adjusted_incidence_rate,state
2018,59.9,PA
2017,61.6,PA
2016,63,PA
2015,63.2,PA
2014,63.2,PA
2013,64.3,PA
2012,63.9,PA
2011,66,PA
2010,65.9,PA
2009,69,PA
2008,69.8,PA
2007,70.9,PA
2006,69.9,PA
2005,70.3,PA
2004,68.2,PA
2003,69.3,PA
2002,69.9,PA
2001,70.3,PA
2000,68.4,PA
1999,69.5,PA
1998,70.1,PA
1997,69.8,PA
1996,69.4,PA
1995,68.3,PA
1994,66,PA
1993,65.9,PA
1992,63.4,PA
1991,64,PA
1990,62.7,PA
1996,69.3,OH
1997,76.9,OH
1998,79.5,OH
1999,77.8,OH
2000,74.4,OH
2001,77.2,OH
2002,76.4,OH
2003,75.2,OH
2004,76.8,OH
2005,76.9,OH
2006,76.7,OH
2007,74.9,OH
2008,75,OH
2009,75.9,OH
2010,72.8,OH
2011,72.4,OH
2012,69.8,OH
2013,69.3,OH
2014,69.6,OH
2015,70.1,OH
2016,67.2,OH
2017,65.2,OH
2018,64.6,OH
1976,55.1,NY
1977,55.1,NY
1978,56.2,NY
1979,57.7,NY
1980,59.4,NY
1981,59,NY
1982,61.3,NY
1983,62.4,NY
1984,62.4,NY
1985,64,NY
1986,63.7,NY
1987,64.8,NY
1988,65.3,NY
1989,66.4,NY
1990,66.5,NY
1991,67.5,NY
1992,68.2,NY
1993,67.4,NY
1994,68.7,NY
1995,67.3,NY
1996,68.3,NY
1997,68,NY
1998,68,NY
1999,66.3,NY
2000,67.4,NY
2001,65.4,NY
2002,65.7,NY
2003,65,NY
2004,64.9,NY
2005,64.8,NY
2006,65.3,NY
2007,65.4,NY
2008,65.5,NY
2009,64.3,NY
2010,62.4,NY
2011,62.7,NY
2012,61.1,NY
2013,60.4,NY
2014,58,NY
2015,59.3,NY
2016,57.8,NY
2017,58.8,NY
2018,56,NY
