Year of Diagnosis/Death,Incidence,,,,,,,,,Deaths,,,,,,,,
,Males and Females,,,Males,,,Females,,,Males and Females,,,Males,,,Females,,
,Cases,"Rate per 100,000 Population",95% CI,Cases,"Rate per 100,000 Males",95% CI,Cases,"Rate per 100,000 Females",95% CI,Deaths,"Rate per 100,000 Population",95% CI,Deaths,"Rate per 100,000 Males",95% CI,Deaths,"Rate per 100,000 Females",95% CI
1976,9539,55.1,54.0-56.2,6844,94.8,92.5-97.2,2695,27.5,26.5-28.6,7648,44.5,43.4-45.5,5597,79,76.8-81.2,2051,20.9,20.0-21.9
1977,9582,55.1,53.9-56.2,6778,94.2,91.9-96.6,2804,28.4,27.3-29.5,7988,46.2,45.2-47.2,5818,81.7,79.5-83.9,2170,22,21.1-23.0
1978,9771,56.2,55.1-57.4,6978,96.9,94.5-99.3,2793,28.4,27.3-29.5,8014,46.3,45.3-47.3,5763,81.1,78.9-83.3,2251,22.7,21.8-23.7
1979,10050,57.7,56.6-58.9,6933,96.7,94.3-99.1,3117,31.5,30.4-32.7,8005,46.1,45.1-47.2,5655,79.8,77.6-81.9,2350,23.6,22.6-24.6
1980,10405,59.4,58.3-60.6,7213,99.6,97.3-102.1,3192,32,30.9-33.2,8537,48.9,47.8-49.9,5988,83.8,81.6-86.1,2549,25.4,24.4-26.4
1981,10359,59,57.9-60.2,6991,97.1,94.7-99.5,3368,33.6,32.4-34.8,8463,48.3,47.3-49.4,5900,82.6,80.5-84.9,2563,25.5,24.5-26.5
1982,10800,61.3,60.1-62.5,7155,99,96.6-101.4,3645,36.2,35.0-37.4,8651,49.3,48.2-50.4,5824,81.6,79.4-83.8,2827,28,27.0-29.1
1983,11085,62.4,61.3-63.6,7243,99.3,97.0-101.7,3842,37.7,36.5-39.0,8914,50.4,49.4-51.5,5882,82.4,80.2-84.6,3032,29.6,28.5-30.7
1984,11083,62.4,61.2-63.6,7217,98.5,96.1-100.8,3866,38.2,37.0-39.5,8828,49.7,48.7-50.8,5863,81.2,79.0-83.4,2965,28.9,27.8-30.0
