Incidence Rate Report for Pennsylvania by County

"Lung & Bronchus (All Stages^), 2014-2018"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Pennsylvania(6)",42000,***,62.6 ,62.1, 63.2,N/A , 15 , 22,10903,falling,-1.4 ,-1.6, -1.1
"US (SEER+NPCR)(1)",00000,***,57.3 ,57.1, 57.4,N/A , N/A , N/A,222811,falling,-2.6 ,-3.4, -1.8
"Forest County(6)",42053,***,79.8 ,57.8, 110.6,1 , 1 , 66,9,stable,0.7 ,-2.6, 4.2
"Fayette County(6)",42051,***,74.4 ,69.1, 80.1,2 , 1 , 24,152,stable,-0.3 ,-1.5, 0.9
"Perry County(6)",42099,***,73.1 ,63.8, 83.6,3 , 1 , 48,46,stable,-0.3 ,-1.7, 1.3
"Greene County(6)",42059,***,72.9 ,62.7, 84.5,4 , 1 , 55,38,stable,-0.8 ,-2.4, 0.8
"Philadelphia County(6)",42101,***,72.9 ,71, 74.8,5 , 1 , 15,1225,falling,-1.7 ,-2.0, -1.3
"Lawrence County(6)",42073,***,71.3 ,65, 78.1,6 , 1 , 41,99,stable,-0.2 ,-1.6, 1.1
"Schuylkill County(6)",42107,***,71 ,65.9, 76.4,7 , 1 , 33,151,stable,0.0 ,-0.7, 0.8
"Luzerne County(6)",42079,***,70.8 ,67.4, 74.4,8 , 1 , 25,332,stable,0.1 ,-0.6, 0.8
"Northumberland County(6)",42097,***,70.3 ,64.1, 76.9,9 , 1 , 41,100,stable,0.7 ,-0.4, 1.7
"Blair County(6)",42013,***,70.2 ,64.8, 76,10 , 1 , 38,131,stable,0.0 ,-1.2, 1.3
"Wyoming County(6)",42131,***,70 ,58.8, 83,11 , 1 , 58,29,stable,-0.4 ,-2.6, 1.8
"Washington County(6)",42125,***,69.9 ,65.7, 74.3,12 , 1 , 31,220,stable,0.5 ,-0.5, 1.4
"Crawford County(6)",42039,***,69.9 ,63.3, 77,13 , 1 , 45,89,stable,-0.8 ,-2.1, 0.4
"Montour County(6)",42093,***,69.4 ,55.9, 85.5,14 , 1 , 64,19,stable,1.4 ,-2.4, 5.3
"Beaver County(6)",42007,***,69.1 ,64.6, 74,15 , 2 , 37,179,stable,-0.4 ,-1.4, 0.6
