Incidence Rate Report for Ohio by County

"Lung & Bronchus (All Stages^), 2014-2018"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Ohio(6)",39000,***,67.3 ,66.7, 67.9,N/A , 9 , 12,10058,falling,-1.5 ,-1.9, -1.2
"US (SEER+NPCR)(1)",00000,***,57.3 ,57.1, 57.4,N/A , N/A , N/A,222811,falling,-2.6 ,-3.4, -1.8
"Vinton County(6)",39163,***,101.1 ,80.7, 125.6,1 , 1 , 57,18,stable,-0.6 ,-2.9, 1.7
"Jackson County(6)",39079,***,99.6 ,86.2, 114.5,2 , 1 , 28,42,stable,0.3 ,-1.7, 2.2
"Adams County(6)",39001,***,98.4 ,84.6, 113.9,3 , 1 , 31,38,rising,2.1 ,0.1, 4.2
"Pike County(6)",39131,***,97 ,83.2, 112.6,4 , 1 , 30,37,stable,0.2 ,-0.9, 1.4
"Brown County(6)",39015,***,96.8 ,85.8, 108.9,5 , 1 , 26,59,stable,-0.4 ,-2.5, 1.7
"Perry County(6)",39127,***,94.4 ,82, 108.3,6 , 1 , 32,44,stable,0.5 ,-1.4, 2.3
"Lawrence County(6)",39087,***,92.9 ,84, 102.7,7 , 1 , 27,81,stable,-0.4 ,-2.4, 1.6
"Ross County(6)",39141,***,92.3 ,84, 101.2,8 , 1 , 27,94,stable,0.3 ,-1.4, 2.0
"Guernsey County(6)",39059,***,91.1 ,80.2, 103.2,9 , 1 , 34,52,stable,1.2 ,-0.2, 2.7
"Preble County(6)",39135,***,90.2 ,79.3, 102.3,10 , 1 , 37,52,rising,2.7 ,1.1, 4.4
"Fayette County(6)",39047,***,89.3 ,76.2, 104.1,11 , 1 , 44,35,stable,1.7 ,-0.5, 3.9
"Scioto County(6)",39145,***,88.4 ,80.4, 97.1,12 , 1 , 33,91,stable,-1.3 ,-2.9, 0.4
"Gallia County(6)",39053,***,87.3 ,75, 101.2,13 , 1 , 48,37,stable,0.0 ,-1.3, 1.4
"Pickaway County(6)",39129,***,87 ,77.4, 97.5,14 , 2 , 37,61,stable,0.0 ,-1.4, 1.3
"Morgan County(6)",39115,***,86.9 ,70, 107.2,15 , 1 , 72,20,stable,0.9 ,-1.4, 3.4
"Crawford County(6)",39033,***,85.6 ,75.4, 97,16 , 1 , 44,53,rising,1.6 ,0.1, 3.2
"Marion County(6)",39101,***,85.4 ,76.8, 94.8,17 , 2 , 37,75,stable,-0.8 ,-2.4, 0.9
"Morrow County(6)",39117,***,85.2 ,73.5, 98.4,18 , 1 , 52,39,stable,0.0 ,-2.0, 2.0
"Clark County(6)",39023,***,83.4 ,77.6, 89.6,19 , 6 , 34,158,stable,-0.3 ,-1.4, 0.7
"Muskingum County(6)",39119,***,82.3 ,75, 90.2,20 , 5 , 42,95,stable,-0.7 ,-2.2, 0.9
