CancerSiteTypeSiteTypeDesc;CancerYearYear;AgeAdjustedRate;CancerCount;PopulationCount;SORT
Lung and Bronchus;1996;69,3;7997;;0
Lung and Bronchus;1997;76,9;8927;;6
Lung and Bronchus;1998;79,5;9319;;12
Lung and Bronchus;1999;77,8;9174;;18
Lung and Bronchus;2000;74,4;8833;;24
Lung and Bronchus;2001;77,2;9222;;30
Lung and Bronchus;2002;76,4;9231;;36
Lung and Bronchus;2003;75,2;9189;;42
Lung and Bronchus;2004;76,8;9462;;48
Lung and Bronchus;2005;76,9;9564;;54
Lung and Bronchus;2006;76,7;9657;;60
Lung and Bronchus;2007;74,9;9569;;66
Lung and Bronchus;2008;75,0;9753;;72
Lung and Bronchus;2009;75,9;10006;;78
Lung and Bronchus;2010;72,8;9769;;84
Lung and Bronchus;2011;72,4;9833;;90
Lung and Bronchus;2012;69,8;9694;;96
Lung and Bronchus;2013;69,3;9795;;102
Lung and Bronchus;2014;69,6;10042;;108
Lung and Bronchus;2015;70,1;10271;;114
Lung and Bronchus;2016;67,2;10001;;120
Lung and Bronchus;2017;65,2;9954;;126
Lung and Bronchus;2018;64,6;10025;;132
Total;1996;69,3;7997;;3
Total;1997;76,9;8927;;9
Total;1998;79,5;9319;;15
Total;1999;77,8;9174;;21
Total;2000;74,4;8833;;27
Total;2001;77,2;9222;;33
Total;2002;76,4;9231;;39
Total;2003;75,2;9189;;45
Total;2004;76,8;9462;;51
Total;2005;76,9;9564;;57
Total;2006;76,7;9657;;63
Total;2007;74,9;9569;;69
Total;2008;75,0;9753;;75
Total;2009;75,9;10006;;81
Total;2010;72,8;9769;;87
Total;2011;72,4;9833;;93
Total;2012;69,8;9694;;99
Total;2013;69,3;9795;;105
Total;2014;69,6;10042;;111
Total;2015;70,1;10271;;117
Total;2016;67,2;10001;;123
Total;2017;65,2;9954;;129
Total;2018;64,6;10025;;135
Lung and Bronchus;Total;72,7;219287;;138
Total;Total;72,7;219287;;141
