year,PA_AAIR,OH_AAIR,NY_AAIR
2018,59.9,64.6,56
2017,61.6,65.2,58.8
2016,63,67.2,57.8
2015,63.2,70.1,59.3
2014,63.2,69.6,58
2013,64.3,69.3,60.4
2012,63.9,69.8,61.1
2011,66,72.4,62.7
2010,65.9,72.8,62.4
2009,69,75.9,64.3
2008,69.8,75,65.5
2007,70.9,74.9,65.4
2006,69.9,76.7,65.3
2005,70.3,76.9,64.8
2004,68.2,76.8,64.9
2003,69.3,75.2,65
2002,69.9,76.4,65.7
2001,70.3,77.2,65.4
2000,68.4,74.4,67.4
1999,69.5,77.8,66.3
1998,70.1,79.5,68
1997,69.8,76.9,68
1996,69.4,69.3,68.3
1995,68.3,NA,67.3
1994,66,NA,68.7
1993,65.9,NA,67.4
1992,63.4,NA,68.2
1991,64,NA,67.5
1990,62.7,NA,66.5
1976,NA,NA,55.1
1977,NA,NA,55.1
1978,NA,NA,56.2
1979,NA,NA,57.7
1980,NA,NA,59.4
1981,NA,NA,59
1982,NA,NA,61.3
1983,NA,NA,62.4
1984,NA,NA,62.4
1985,NA,NA,64
1986,NA,NA,63.7
1987,NA,NA,64.8
1988,NA,NA,65.3
1989,NA,NA,66.4
